"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.26    ,  0.13  
MgO     ,  6.68    ,  0.17  
Al2O3   ,  8.12    ,  0.19  
SiO2    , 44.20    ,  0.53  
P2O5    ,  0.49    ,  0.05  
SO3     ,  2.64    ,  0.05  
Cl      ,  1.25    ,  0.03  
K2O     ,  0.57    ,  0.02  
CaO     ,  6.49    ,  0.07  
TiO2    ,  1.33    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.32    ,  0.01  
FeO     , 24.90    ,  0.26  
Ni      ,  0.0648  ,  0.0035
Zn      ,  0.0719  ,  0.0025
Br      ,  0.0115  ,  0.0010
