"Target: Cumberland_A_adjusted_Target1, Contains DAT files: APB_423020067ESC02880060082_______M2.DAT"
  486.0  ,   15603
  510.4  ,       0
  534.7  ,       0
  559.1  ,       0
  583.5  ,       0
  607.8  ,     116
  632.2  ,    1225
  656.6  ,    1495
  680.9  ,    1534
  705.3  ,    1498
  729.7  ,    1592
  754.0  ,    1513
  778.4  ,    1477
  802.8  ,    1438
  827.1  ,    1588
  851.5  ,    1575
  875.9  ,    1693
  900.2  ,    1877
  924.6  ,    2208
  949.0  ,    2900
  973.3  ,    3648
  997.7  ,    4427
 1022.1  ,    4916
 1046.4  ,    5078
 1070.8  ,    4625
 1095.2  ,    4373
 1119.5  ,    4594
 1143.9  ,    5751
 1168.3  ,    8113
 1192.7  ,   11474
 1217.0  ,   14687
 1241.4  ,   16147
 1265.8  ,   15087
 1290.1  ,   12537
 1314.5  ,    9465
 1338.9  ,    7622
 1363.2  ,    7308
 1387.6  ,    9336
 1412.0  ,   13036
 1436.3  ,   17353
 1460.7  ,   20922
 1485.1  ,   21531
 1509.4  ,   19430
 1533.8  ,   15699
 1558.2  ,   12351
 1582.5  ,   11720
 1606.9  ,   15299
 1631.3  ,   24269
 1655.6  ,   39807
 1680.0  ,   58565
 1704.4  ,   75062
 1728.7  ,   82623
 1753.1  ,   77004
 1777.5  ,   61723
 1801.8  ,   42398
 1826.2  ,   26233
 1850.6  ,   15208
 1874.9  ,    8554
 1899.3  ,    4912
 1923.7  ,    3239
 1948.0  ,    2445
 1972.4  ,    2188
 1996.8  ,    2029
 2021.1  ,    1915
 2045.5  ,    1661
 2069.9  ,    1340
 2094.2  ,    1114
 2118.6  ,     886
 2143.0  ,     860
 2167.3  ,     924
 2191.7  ,    1123
 2216.1  ,    1523
 2240.4  ,    1900
 2264.8  ,    2425
 2289.2  ,    2737
 2313.5  ,    2632
 2337.9  ,    2329
 2362.3  ,    1780
 2386.6  ,    1356
 2411.0  ,     957
 2435.4  ,     840
 2459.7  ,     780
 2484.1  ,     859
 2508.5  ,    1060
 2532.8  ,    1456
 2557.2  ,    2018
 2581.6  ,    2461
 2606.0  ,    2655
 2630.3  ,    2622
 2654.7  ,    2236
 2679.1  ,    1827
 2703.4  ,    1259
 2727.8  ,     887
 2752.2  ,     659
 2776.5  ,     583
 2800.9  ,     576
 2825.3  ,     582
 2849.6  ,     631
 2874.0  ,     648
 2898.4  ,     744
 2922.7  ,     761
 2947.1  ,     767
 2971.5  ,     747
 2995.8  ,     630
 3020.2  ,     501
 3044.6  ,     446
 3068.9  ,     373
 3093.3  ,     329
 3117.7  ,     356
 3142.0  ,     356
 3166.4  ,     396
 3190.8  ,     471
 3215.1  ,     577
 3239.5  ,     775
 3263.9  ,     948
 3288.2  ,     993
 3312.6  ,    1116
 3337.0  ,     989
 3361.3  ,     921
 3385.7  ,     788
 3410.1  ,     590
 3434.4  ,     535
 3458.8  ,     524
 3483.2  ,     589
 3507.5  ,     800
 3531.9  ,    1045
 3556.3  ,    1699
 3580.6  ,    2469
 3605.0  ,    3576
 3629.4  ,    4934
 3653.7  ,    5993
 3678.1  ,    6463
 3702.5  ,    6104
 3726.8  ,    5300
 3751.2  ,    3808
 3775.6  ,    2595
 3799.9  ,    1547
 3824.3  ,    1010
 3848.7  ,     649
 3873.0  ,     553
 3897.4  ,     565
 3921.8  ,     646
 3946.1  ,     838
 3970.5  ,     936
 3994.9  ,     982
 4019.3  ,    1047
 4043.6  ,     990
 4068.0  ,     842
 4092.4  ,     606
 4116.7  ,     490
 4141.1  ,     390
 4165.5  ,     324
 4189.8  ,     295
 4214.2  ,     223
 4238.6  ,     218
 4262.9  ,     219
 4287.3  ,     232
 4311.7  ,     246
 4336.0  ,     286
 4360.4  ,     357
 4384.8  ,     431
 4409.1  ,     583
 4433.5  ,     764
 4457.9  ,     881
 4482.2  ,    1014
 4506.6  ,    1043
 4531.0  ,     976
 4555.3  ,     848
 4579.7  ,     747
 4604.1  ,     614
 4628.4  ,     523
 4652.8  ,     468
 4677.2  ,     395
 4701.5  ,     358
 4725.9  ,     292
 4750.3  ,     303
 4774.6  ,     266
