"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.63    ,  0.14  
MgO     ,  8.84    ,  0.25  
Al2O3   ,  9.31    ,  0.19  
SiO2    , 43.87    ,  0.54  
P2O5    ,  0.95    ,  0.07  
SO3     ,  5.63    ,  0.15  
Cl      ,  1.08    ,  0.04  
K2O     ,  0.45    ,  0.02  
CaO     ,  6.49    ,  0.08  
TiO2    ,  0.94    ,  0.07  
Cr2O3   ,  0.47    ,  0.03  
MnO     ,  0.35    ,  0.03  
FeO     , 18.82    ,  0.20  
Ni      ,  0.0539  ,  0.0040
Zn      ,  0.0351  ,  0.0025
Br      ,  0.0096  ,  0.0010
