"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  5.19    ,  0.20  
MgO     ,  3.41    ,  0.17  
Al2O3   , 16.80    ,  0.38  
SiO2    , 53.98    ,  0.75  
P2O5    ,  0.61    ,  0.05  
SO3     ,  4.43    ,  0.15  
Cl      ,  0.69    ,  0.04  
K2O     ,  1.36    ,  0.05  
CaO     ,  7.16    ,  0.11  
TiO2    ,  0.35    ,  0.03  
Cr2O3   ,  0.06    ,  0.03  
MnO     ,  0.13    ,  0.01  
FeO     ,  5.73    ,  0.13  
Ni      ,  0.0043  ,  0.0025
Zn      ,  0.0215  ,  0.0020
Br      ,  0.0005  ,  0.0010
