"Target: Maturango, Contains DAT files: APB_464560318ESC07560421020_______M1.DAT"
 7127.8  ,    8160
 7152.2  ,    4578
 7176.6  ,    2527
 7201.0  ,    1120
 7225.5  ,     574
 7249.9  ,     383
 7274.3  ,     269
 7298.7  ,     303
 7323.1  ,     373
 7347.5  ,     570
 7372.0  ,     774
 7396.4  ,    1069
 7420.8  ,    1365
 7445.2  ,    1502
 7469.6  ,    1446
 7494.0  ,    1289
 7518.5  ,     993
 7542.9  ,     722
 7567.3  ,     488
 7591.7  ,     337
 7616.1  ,     276
 7640.5  ,     194
 7665.0  ,     201
 7689.4  ,     189
 7713.8  ,     177
 7738.2  ,     204
 7762.6  ,     179
 7787.0  ,     170
 7811.5  ,     205
 7835.9  ,     197
 7860.3  ,     195
 7884.7  ,     206
 7909.1  ,     217
 7933.5  ,     217
 7958.0  ,     240
 7982.4  ,     245
 8006.8  ,     255
 8031.2  ,     245
 8055.6  ,     244
 8080.0  ,     269
 8104.5  ,     255
 8128.9  ,     261
 8153.3  ,     306
 8177.7  ,     312
 8202.1  ,     346
 8226.5  ,     395
 8251.0  ,     367
 8275.4  ,     401
 8299.8  ,     336
 8324.2  ,     317
 8348.6  ,     266
 8373.0  ,     259
 8397.5  ,     260
 8421.9  ,     343
 8446.3  ,     478
 8470.7  ,     723
 8495.1  ,    1109
 8519.5  ,    1721
 8544.0  ,    2280
 8568.4  ,    2959
 8592.8  ,    3498
 8617.2  ,    3689
 8641.6  ,    3486
 8666.0  ,    2813
 8690.5  ,    2157
 8714.9  ,    1414
 8739.3  ,     872
 8763.7  ,     546
 8788.1  ,     339
 8812.5  ,     230
 8836.9  ,     171
 8861.4  ,     178
 8885.8  ,     194
 8910.2  ,     154
 8934.6  ,     169
 8959.0  ,     178
 8983.4  ,     180
 9007.9  ,     210
 9032.3  ,     173
 9056.7  ,     162
 9081.1  ,     166
 9105.5  ,     179
 9129.9  ,     196
 9154.4  ,     176
 9178.8  ,     199
 9203.2  ,     218
 9227.6  ,     222
 9252.0  ,     201
 9276.4  ,     198
 9300.9  ,     206
 9325.3  ,     189
 9349.7  ,     209
