"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.78    ,  0.14  
MgO     ,  6.98    ,  0.17  
Al2O3   ,  8.19    ,  0.19  
SiO2    , 43.32    ,  0.54  
P2O5    ,  1.04    ,  0.07  
SO3     ,  6.86    ,  0.10  
Cl      ,  3.07    ,  0.04  
K2O     ,  0.91    ,  0.04  
CaO     ,  3.05    ,  0.04  
TiO2    ,  1.01    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.35    ,  0.01  
FeO     , 21.69    ,  0.26  
Ni      ,  0.0997  ,  0.0050
Zn      ,  0.2440  ,  0.0075
Br      ,  0.0414  ,  0.0015
