"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  4.03    ,  0.14  
MgO     ,  3.95    ,  0.08  
Al2O3   , 11.21    ,  0.29  
SiO2    , 49.78    ,  0.54  
P2O5    ,  0.76    ,  0.05  
SO3     ,  2.29    ,  0.05  
Cl      ,  0.70    ,  0.02  
K2O     ,  2.83    ,  0.10  
CaO     ,  5.71    ,  0.07  
TiO2    ,  0.99    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 16.99    ,  0.20  
Ni      ,  0.0629  ,  0.0035
Zn      ,  0.0609  ,  0.0020
Br      ,  0.0077  ,  0.0005
