"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.82    ,  0.14  
MgO     ,  6.33    ,  0.17  
Al2O3   ,  9.08    ,  0.19  
SiO2    , 46.28    ,  0.54  
P2O5    ,  0.86    ,  0.05  
SO3     ,  8.77    ,  0.15  
Cl      ,  1.71    ,  0.04  
K2O     ,  1.20    ,  0.04  
CaO     ,  4.75    ,  0.06  
TiO2    ,  0.86    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.11    ,  0.01  
FeO     , 16.51    ,  0.20  
Ni      ,  0.0746  ,  0.0040
Zn      ,  0.1342  ,  0.0045
Br      ,  0.0038  ,  0.0005
