"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.50    ,  0.20  
MgO     ,  7.23    ,  0.25  
Al2O3   ,  8.24    ,  0.19  
SiO2    , 45.95    ,  0.64  
P2O5    ,  0.97    ,  0.07  
SO3     ,  7.39    ,  0.20  
Cl      ,  2.34    ,  0.07  
K2O     ,  0.78    ,  0.04  
CaO     ,  2.80    ,  0.07  
TiO2    ,  1.04    ,  0.07  
Cr2O3   ,  0.32    ,  0.03  
MnO     ,  0.26    ,  0.03  
FeO     , 19.68    ,  0.26  
Ni      ,  0.0779  ,  0.0060
Zn      ,  0.1759  ,  0.0055
Br      ,  0.0372  ,  0.0020
