"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.40    ,  0.14  
MgO     ,  6.30    ,  0.17  
Al2O3   ,  8.84    ,  0.19  
SiO2    , 46.37    ,  0.54  
P2O5    ,  0.93    ,  0.07  
SO3     ,  7.98    ,  0.10  
Cl      ,  1.20    ,  0.02  
K2O     ,  0.85    ,  0.04  
CaO     ,  4.95    ,  0.06  
TiO2    ,  1.11    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.21    ,  0.01  
FeO     , 18.26    ,  0.20  
Ni      ,  0.0857  ,  0.0045
Zn      ,  0.1191  ,  0.0040
Br      ,  0.0078  ,  0.0005
