"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.52    ,  0.13  
MgO     ,  6.36    ,  0.17  
Al2O3   ,  8.99    ,  0.19  
SiO2    , 43.16    ,  0.53  
P2O5    ,  0.83    ,  0.07  
SO3     ,  6.80    ,  0.17  
Cl      ,  1.08    ,  0.05  
K2O     ,  1.09    ,  0.04  
CaO     ,  6.98    ,  0.10  
TiO2    ,  1.15    ,  0.07  
Cr2O3   ,  0.44    ,  0.04  
MnO     ,  0.54    ,  0.03  
FeO     , 19.87    ,  0.26  
Ni      ,  0.0215  ,  0.0030
Zn      ,  0.0530  ,  0.0030
Br      ,  0.0085  ,  0.0010
