"Target: Bell_Island_target9_night, Contains DAT files: APA_407918149ESC01170050432_______M2.DAT"
 7430.2  ,      27
 7454.6  ,      31
 7479.1  ,      33
 7503.5  ,      20
 7528.0  ,      26
 7552.4  ,      11
 7576.9  ,      21
 7601.4  ,      12
 7625.8  ,      14
 7650.3  ,      15
 7674.7  ,       7
 7699.2  ,      14
 7723.6  ,      16
 7748.1  ,      20
 7772.6  ,      10
 7797.0  ,      11
 7821.5  ,      13
 7845.9  ,      11
 7870.4  ,      13
 7894.8  ,      14
 7919.3  ,      10
 7943.8  ,      12
 7968.2  ,      13
 7992.7  ,      13
 8017.1  ,       7
 8041.6  ,       7
 8066.0  ,      16
 8090.5  ,      19
 8115.0  ,      17
 8139.4  ,      10
 8163.9  ,      12
 8188.3  ,      11
 8212.8  ,      11
 8237.2  ,      11
 8261.7  ,      17
 8286.1  ,      16
 8310.6  ,      12
 8335.1  ,      18
 8359.5  ,      14
 8384.0  ,      10
 8408.4  ,      11
 8432.9  ,      10
 8457.3  ,      16
 8481.8  ,      22
 8506.3  ,      29
 8530.7  ,      46
 8555.2  ,      54
 8579.6  ,      87
 8604.1  ,      94
 8628.5  ,      57
 8653.0  ,      83
 8677.5  ,      62
 8701.9  ,      48
 8726.4  ,      33
 8750.8  ,      19
 8775.3  ,      12
 8799.7  ,      16
 8824.2  ,      11
 8848.7  ,       7
 8873.1  ,       9
 8897.6  ,      16
 8922.0  ,       9
 8946.5  ,      14
 8970.9  ,       7
 8995.4  ,      13
 9019.9  ,      11
 9044.3  ,      13
 9068.8  ,      17
 9093.2  ,      16
 9117.7  ,       9
 9142.1  ,      10
 9166.6  ,       8
 9191.1  ,      11
 9215.5  ,       7
 9240.0  ,      16
 9264.4  ,      10
 9288.9  ,       9
 9313.3  ,       4
 9337.8  ,      12
 9362.3  ,      16
 9386.7  ,       7
 9411.2  ,      14
 9435.6  ,       6
 9460.1  ,      15
 9484.5  ,      16
 9509.0  ,      16
 9533.5  ,      18
 9557.9  ,      23
 9582.4  ,      27
 9606.8  ,      26
 9631.3  ,      24
 9655.7  ,      18
 9680.2  ,      11
 9704.6  ,      20
 9729.1  ,      17
 9753.6  ,      19
 9778.0  ,      20
 9802.5  ,      18
 9826.9  ,      12
 9851.4  ,      18
 9875.8  ,      13
 9900.3  ,      11
 9924.8  ,      10
 9949.2  ,      12
 9973.7  ,      10
 9998.1  ,       9
10022.6  ,       9
10047.0  ,       8
10071.5  ,      17
10096.0  ,       4
10120.4  ,      10
10144.9  ,       8
10169.3  ,      12
10193.8  ,       9
10218.2  ,       6
10242.7  ,      10
10267.2  ,       7
10291.6  ,       9
10316.1  ,       9
10340.5  ,      13
10365.0  ,      11
10389.4  ,       8
10413.9  ,       8
10438.4  ,       9
10462.8  ,       9
10487.3  ,       9
10511.7  ,      12
10536.2  ,      10
10560.6  ,       8
10585.1  ,       9
10609.6  ,      11
10634.0  ,      12
10658.5  ,      10
10682.9  ,       9
10707.4  ,      11
10731.8  ,      11
10756.3  ,       8
10780.8  ,       7
10805.2  ,      12
10829.7  ,       6
10854.1  ,       7
10878.6  ,       9
10903.0  ,       8
10927.5  ,      10
10951.9  ,      10
10976.4  ,      13
11000.9  ,      12
11025.3  ,      14
11049.8  ,      12
11074.2  ,      14
11098.7  ,      10
11123.1  ,      12
11147.6  ,      10
11172.1  ,       6
11196.5  ,      13
11221.0  ,       9
11245.4  ,      14
11269.9  ,      11
11294.3  ,      10
11318.8  ,      14
11343.3  ,      11
11367.7  ,      12
11392.2  ,      12
11416.6  ,      18
11441.1  ,      15
11465.5  ,      16
11490.0  ,      14
11514.5  ,      23
11538.9  ,      21
11563.4  ,      14
11587.8  ,      20
11612.3  ,      18
11636.7  ,      12
11661.2  ,      17
11685.7  ,      22
11710.1  ,      20
11734.6  ,      19
11759.0  ,      25
11783.5  ,      26
11807.9  ,      13
11832.4  ,      34
11856.9  ,      40
11881.3  ,      40
11905.8  ,      35
11930.2  ,      37
11954.7  ,      29
11979.1  ,      36
12003.6  ,      25
12028.1  ,      30
12052.5  ,      21
12077.0  ,      26
12101.4  ,      39
12125.9  ,      29
12150.3  ,      27
12174.8  ,      17
12199.3  ,      29
12223.7  ,      18
12248.2  ,      24
12272.6  ,      18
12297.1  ,      14
12321.5  ,      19
12346.0  ,      15
12370.4  ,      19
12394.9  ,      14
12419.4  ,      11
12443.8  ,      14
12468.3  ,      20
12492.7  ,      13
12517.2  ,      16
12541.6  ,      23
12566.1  ,      14
12590.6  ,      22
12615.0  ,      26
12639.5  ,      19
12663.9  ,      21
12688.4  ,      23
12712.8  ,      16
12737.3  ,      28
12761.8  ,      21
12786.2  ,      21
12810.7  ,      22
12835.1  ,      32
12859.6  ,      32
12884.0  ,      25
12908.5  ,      38
12933.0  ,      33
12957.4  ,      35
12981.9  ,      31
13006.3  ,      34
13030.8  ,      36
13055.2  ,      43
13079.7  ,      38
13104.2  ,      44
13128.6  ,      58
13153.1  ,      56
13177.5  ,      62
13202.0  ,      72
13226.4  ,      84
13250.9  ,      83
13275.4  ,     127
13299.8  ,     100
13324.3  ,     110
13348.7  ,     133
13373.2  ,     148
13397.6  ,     137
13422.1  ,     154
13446.6  ,     189
13471.0  ,     169
13495.5  ,     162
13519.9  ,     166
13544.4  ,     179
13568.8  ,     169
13593.3  ,     145
13617.8  ,     143
13642.2  ,     181
13666.7  ,     138
13691.1  ,     151
13715.6  ,     114
13740.0  ,     125
13764.5  ,     112
13788.9  ,     127
13813.4  ,      82
13837.9  ,      73
13862.3  ,      73
13886.8  ,      64
13911.2  ,      57
13935.7  ,      59
13960.1  ,      53
13984.6  ,      67
14009.1  ,      80
14033.5  ,      99
14058.0  ,      91
14082.4  ,     111
14106.9  ,     109
14131.3  ,     153
14155.8  ,     165
14180.3  ,     206
14204.7  ,     228
14229.2  ,     241
14253.6  ,     265
14278.1  ,     291
14302.5  ,     234
14327.0  ,     231
