"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.94    ,  0.13  
MgO     ,  6.47    ,  0.17  
Al2O3   ,  9.31    ,  0.19  
SiO2    , 43.03    ,  0.53  
P2O5    ,  0.73    ,  0.05  
SO3     ,  7.13    ,  0.07  
Cl      ,  1.08    ,  0.02  
K2O     ,  1.13    ,  0.04  
CaO     ,  6.88    ,  0.07  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.38    ,  0.01  
MnO     ,  0.46    ,  0.01  
FeO     , 19.17    ,  0.19  
Ni      ,  0.0197  ,  0.0010
Zn      ,  0.0524  ,  0.0020
Br      ,  0.0078  ,  0.0005
