"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.71    ,  0.14  
MgO     ,  4.87    ,  0.17  
Al2O3   ,  9.15    ,  0.19  
SiO2    , 46.99    ,  0.54  
P2O5    ,  1.04    ,  0.07  
SO3     ,  9.94    ,  0.15  
Cl      ,  1.40    ,  0.03  
K2O     ,  0.94    ,  0.04  
CaO     ,  5.67    ,  0.07  
TiO2    ,  0.84    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 15.73    ,  0.20  
Ni      ,  0.0829  ,  0.0045
Zn      ,  0.1088  ,  0.0035
Br      ,  0.0116  ,  0.0010
