"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.16    ,  0.07  
MgO     ,  4.44    ,  0.17  
Al2O3   ,  4.21    ,  0.10  
SiO2    , 66.61    ,  0.75  
P2O5    ,  1.70    ,  0.09  
SO3     ,  7.84    ,  0.10  
Cl      ,  1.23    ,  0.02  
K2O     ,  0.33    ,  0.01  
CaO     ,  3.85    ,  0.04  
TiO2    ,  1.34    ,  0.05  
Cr2O3   ,  0.40    ,  0.01  
MnO     ,  0.07    ,  0.01  
FeO     ,  5.68    ,  0.07  
Ni      ,  0.0053  ,  0.0010
Zn      ,  0.0090  ,  0.0005
Br      ,  0.0161  ,  0.0005
