"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.95    ,  0.07  
MgO     ,  4.27    ,  0.17  
Al2O3   ,  4.86    ,  0.19  
SiO2    , 24.86    ,  0.32  
P2O5    ,  0.90    ,  0.05  
SO3     , 29.33    ,  0.30  
Cl      ,  1.39    ,  0.03  
K2O     ,  0.47    ,  0.02  
CaO     , 20.76    ,  0.21  
TiO2    ,  0.48    ,  0.02  
Cr2O3   ,  0.14    ,  0.01  
MnO     ,  0.11    ,  0.01  
FeO     , 10.27    ,  0.13  
Ni      ,  0.0393  ,  0.0020
Zn      ,  0.0656  ,  0.0020
Br      ,  0.0155  ,  0.0005
