"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.74    ,  0.14  
MgO     ,  4.74    ,  0.17  
Al2O3   ,  8.62    ,  0.19  
SiO2    , 45.13    ,  0.54  
P2O5    ,  0.91    ,  0.05  
SO3     ,  7.90    ,  0.10  
Cl      ,  2.50    ,  0.03  
K2O     ,  0.82    ,  0.04  
CaO     ,  4.83    ,  0.06  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 20.00    ,  0.26  
Ni      ,  0.0939  ,  0.0050
Zn      ,  0.1307  ,  0.0040
Br      ,  0.0201  ,  0.0010
