"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.57    ,  0.14  
MgO     ,  6.17    ,  0.17  
Al2O3   ,  9.88    ,  0.29  
SiO2    , 53.36    ,  0.64  
P2O5    ,  1.24    ,  0.07  
SO3     ,  4.39    ,  0.12  
Cl      ,  1.26    ,  0.04  
K2O     ,  0.90    ,  0.04  
CaO     ,  2.65    ,  0.06  
TiO2    ,  0.85    ,  0.05  
Cr2O3   ,  0.35    ,  0.03  
MnO     ,  0.10    ,  0.03  
FeO     , 15.87    ,  0.20  
Ni      ,  0.0946  ,  0.0050
Zn      ,  0.0639  ,  0.0025
Br      ,  0.0124  ,  0.0010
