"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  1.95    ,  0.07  
MgO     ,  6.33    ,  0.17  
Al2O3   ,  7.53    ,  0.19  
SiO2    , 39.01    ,  0.43  
P2O5    ,  0.77    ,  0.05  
SO3     , 12.11    ,  0.12  
Cl      ,  1.12    ,  0.02  
K2O     ,  0.44    ,  0.02  
CaO     ,  9.77    ,  0.10  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.24    ,  0.01  
FeO     , 19.04    ,  0.19  
Ni      ,  0.0447  ,  0.0025
Zn      ,  0.0495  ,  0.0015
Br      ,  0.0135  ,  0.0005
