"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.61    ,  0.34  
MgO     ,  4.36    ,  0.50  
Al2O3   ,  8.38    ,  0.67  
SiO2    , 53.84    ,  1.18  
P2O5    ,  1.72    ,  0.19  
SO3     ,  6.32    ,  0.32  
Cl      ,  0.70    ,  0.05  
K2O     ,  0.57    ,  0.04  
CaO     ,  5.87    ,  0.29  
TiO2    ,  1.20    ,  0.10  
Cr2O3   ,  0.35    ,  0.05  
MnO     ,  0.13    ,  0.03  
FeO     , 13.67    ,  0.33  
Ni      ,  0.0319  ,  0.0040
Zn      ,  0.0766  ,  0.0040
Br      ,  0.0078  ,  0.0010
