"Target: BonanzaKing2_RP_raster2_DRT, Contains DAT files: APB_461584149ESC07220401378_______M2.DAT"
 7419.2  ,      26
 7443.6  ,      24
 7468.0  ,      23
 7492.4  ,      22
 7516.8  ,      19
 7541.2  ,      14
 7565.6  ,      16
 7590.0  ,      17
 7614.4  ,       7
 7638.8  ,      13
 7663.2  ,       4
 7687.6  ,       9
 7712.0  ,      11
 7736.4  ,      10
 7760.8  ,       7
 7785.2  ,       8
 7809.6  ,      12
 7834.1  ,      14
 7858.5  ,      12
 7882.9  ,      14
 7907.3  ,      10
 7931.7  ,       7
 7956.1  ,       8
 7980.5  ,       7
 8004.9  ,       7
 8029.3  ,      12
 8053.7  ,      10
 8078.1  ,      10
 8102.5  ,      10
 8126.9  ,       4
 8151.3  ,      10
 8175.7  ,      13
 8200.1  ,       9
 8224.5  ,       6
 8248.9  ,       9
 8273.3  ,       9
 8297.7  ,      10
 8322.1  ,      10
 8346.5  ,      14
 8371.0  ,      18
 8395.4  ,      20
 8419.8  ,      22
 8444.2  ,      30
 8468.6  ,      28
 8493.0  ,      32
 8517.4  ,      46
 8541.8  ,      53
 8566.2  ,      58
 8590.6  ,      59
 8615.0  ,      66
 8639.4  ,      83
 8663.8  ,      69
 8688.2  ,      56
 8712.6  ,      48
 8737.0  ,      37
 8761.4  ,      34
 8785.8  ,      11
 8810.2  ,      17
 8834.6  ,      13
 8859.0  ,      15
 8883.4  ,       9
 8907.9  ,      10
 8932.3  ,       9
 8956.7  ,       6
 8981.1  ,       7
 9005.5  ,      11
 9029.9  ,       6
 9054.3  ,       5
 9078.7  ,       9
 9103.1  ,      11
 9127.5  ,      16
 9151.9  ,       8
 9176.3  ,      11
 9200.7  ,       4
 9225.1  ,       9
 9249.5  ,       8
 9273.9  ,      11
 9298.3  ,      20
 9322.7  ,       6
 9347.1  ,      13
 9371.5  ,       9
 9395.9  ,       7
 9420.3  ,      10
 9444.8  ,      12
 9469.2  ,      14
 9493.6  ,      18
 9518.0  ,      23
 9542.4  ,      16
 9566.8  ,      26
 9591.2  ,      19
 9615.6  ,      18
 9640.0  ,      18
 9664.4  ,      15
 9688.8  ,      26
 9713.2  ,      10
 9737.6  ,      14
 9762.0  ,      18
 9786.4  ,      11
 9810.8  ,      15
 9835.2  ,      15
 9859.6  ,      15
 9884.0  ,      14
 9908.4  ,      11
 9932.8  ,      11
 9957.2  ,      14
 9981.6  ,      12
10006.1  ,       5
10030.5  ,       8
10054.9  ,       8
10079.3  ,       8
10103.7  ,       6
10128.1  ,      11
10152.5  ,      13
10176.9  ,       6
10201.3  ,       8
10225.7  ,       4
10250.1  ,       7
10274.5  ,       4
10298.9  ,       8
10323.3  ,      10
10347.7  ,       8
10372.1  ,      10
10396.5  ,       4
10420.9  ,       3
10445.3  ,      16
10469.7  ,       5
10494.1  ,       5
10518.5  ,      15
10543.0  ,       7
10567.4  ,       7
10591.8  ,       6
10616.2  ,       6
10640.6  ,       6
10665.0  ,       7
10689.4  ,       8
10713.8  ,       4
10738.2  ,       9
10762.6  ,       4
10787.0  ,       7
10811.4  ,       9
10835.8  ,      15
10860.2  ,      10
10884.6  ,       7
10909.0  ,      16
10933.4  ,       9
10957.8  ,       8
10982.2  ,      15
11006.6  ,       6
11031.0  ,      12
11055.4  ,      11
11079.9  ,      16
11104.3  ,      10
11128.7  ,       6
11153.1  ,       9
11177.5  ,      14
11201.9  ,      11
11226.3  ,       8
11250.7  ,       9
11275.1  ,       8
11299.5  ,       9
11323.9  ,      10
11348.3  ,      11
11372.7  ,      11
11397.1  ,       6
11421.5  ,      12
11445.9  ,      14
11470.3  ,      12
11494.7  ,      19
11519.1  ,      16
11543.5  ,      18
11567.9  ,      15
11592.3  ,      14
11616.8  ,      17
11641.2  ,      20
11665.6  ,      23
11690.0  ,      17
11714.4  ,      15
11738.8  ,      20
11763.2  ,      23
11787.6  ,      27
11812.0  ,      20
11836.4  ,      33
11860.8  ,      26
11885.2  ,      30
11909.6  ,      28
11934.0  ,      31
11958.4  ,      13
11982.8  ,      36
12007.2  ,      17
12031.6  ,      18
12056.0  ,      29
12080.4  ,      22
12104.8  ,      14
12129.2  ,      21
12153.6  ,      21
12178.1  ,      25
12202.5  ,      20
12226.9  ,      19
12251.3  ,      15
12275.7  ,      14
12300.1  ,      10
12324.5  ,       9
12348.9  ,       8
12373.3  ,      15
12397.7  ,       6
12422.1  ,      11
12446.5  ,      10
12470.9  ,       9
12495.3  ,      10
12519.7  ,      16
12544.1  ,      17
12568.5  ,      22
12592.9  ,      14
12617.3  ,      11
12641.7  ,      15
12666.1  ,      18
12690.5  ,      23
12715.0  ,      18
12739.4  ,      18
12763.8  ,      21
12788.2  ,      20
12812.6  ,      25
12837.0  ,      16
12861.4  ,      21
12885.8  ,      25
12910.2  ,      29
12934.6  ,      36
12959.0  ,      43
12983.4  ,      36
13007.8  ,      47
13032.2  ,      36
13056.6  ,      43
13081.0  ,      40
13105.4  ,      47
13129.8  ,      58
13154.2  ,      44
13178.6  ,      63
13203.0  ,      65
13227.4  ,      67
13251.9  ,      68
13276.3  ,      85
13300.7  ,      99
13325.1  ,      94
13349.5  ,     122
13373.9  ,     125
13398.3  ,     147
13422.7  ,     146
13447.1  ,     144
13471.5  ,     151
13495.9  ,     137
13520.3  ,     143
13544.7  ,     151
13569.1  ,     169
13593.5  ,     154
13617.9  ,     136
13642.3  ,     138
13666.7  ,     108
13691.1  ,     142
13715.5  ,     111
13739.9  ,     114
13764.3  ,      83
13788.8  ,     100
13813.2  ,      86
13837.6  ,      73
13862.0  ,      67
13886.4  ,      64
13910.8  ,      65
13935.2  ,      68
13959.6  ,      71
13984.0  ,      79
14008.4  ,      82
14032.8  ,      72
14057.2  ,     100
14081.6  ,     113
14106.0  ,     134
14130.4  ,     143
14154.8  ,     176
14179.2  ,     193
14203.6  ,     191
14228.0  ,     203
14252.4  ,     204
14276.8  ,     214
14301.2  ,     213
14325.6  ,     191
14350.1  ,     156
14374.5  ,     105
14398.9  ,     101
14423.3  ,      72
14447.7  ,      64
14472.1  ,      56
14496.5  ,      30
14520.9  ,      30
14545.3  ,      15
14569.7  ,      17
14594.1  ,      12
14618.5  ,      13
14642.9  ,      19
14667.3  ,      13
14691.7  ,      13
14716.1  ,      15
14740.5  ,       8
14764.9  ,       9
14789.3  ,      13
14813.7  ,      12
14838.1  ,      15
14862.5  ,      16
14887.0  ,      20
14911.4  ,      22
14935.8  ,      17
14960.2  ,      18
14984.6  ,      14
15009.0  ,      22
15033.4  ,      15
15057.8  ,      27
15082.2  ,      24
15106.6  ,      17
15131.0  ,      21
15155.4  ,      16
15179.8  ,      21
15204.2  ,      13
15228.6  ,      17
15253.0  ,      29
15277.4  ,      23
15301.8  ,      25
15326.2  ,      26
15350.6  ,      27
15375.0  ,      30
15399.4  ,      28
15423.9  ,      40
15448.3  ,      51
15472.7  ,      51
15497.1  ,      46
15521.5  ,      51
15545.9  ,      75
15570.3  ,      98
15594.7  ,     119
15619.1  ,     133
15643.5  ,     121
15667.9  ,     166
15692.3  ,     202
15716.7  ,     182
15741.1  ,     185
15765.5  ,     175
15789.9  ,     207
15814.3  ,     181
15838.7  ,     168
15863.1  ,     171
15887.5  ,     128
15911.9  ,      95
15936.3  ,     109
15960.8  ,      60
15985.2  ,      75
16009.6  ,      73
16034.0  ,      65
16058.4  ,      70
16082.8  ,      65
16107.2  ,      72
16131.6  ,      56
16156.0  ,      57
16180.4  ,      71
16204.8  ,      74
16229.2  ,      69
16253.6  ,      74
16278.0  ,      81
16302.4  ,      78
16326.8  ,      80
16351.2  ,      77
16375.6  ,      71
16400.0  ,      89
16424.4  ,      60
16448.8  ,      75
16473.2  ,      76
16497.7  ,      71
16522.1  ,      89
16546.5  ,      74
16570.9  ,      81
16595.3  ,      93
16619.7  ,      97
16644.1  ,      83
16668.5  ,      96
16692.9  ,      83
16717.3  ,      97
16741.7  ,     131
16766.1  ,     101
16790.5  ,     114
16814.9  ,     115
16839.3  ,     131
16863.7  ,     135
16888.1  ,     154
16912.5  ,     167
16936.9  ,     168
16961.3  ,     181
16985.7  ,     188
17010.1  ,     180
17034.5  ,     187
17059.0  ,     176
17083.4  ,     214
17107.8  ,     212
17132.2  ,     211
17156.6  ,     228
17181.0  ,     218
17205.4  ,     179
17229.8  ,     221
17254.2  ,     196
17278.6  ,     182
17303.0  ,     179
17327.4  ,     179
17351.8  ,     178
17376.2  ,     145
17400.6  ,     121
17425.0  ,     115
17449.4  ,      96
17473.8  ,     117
17498.2  ,      90
17522.6  ,     103
17547.0  ,      89
17571.4  ,      86
17595.9  ,      85
17620.3  ,      90
17644.7  ,      70
17669.1  ,      65
17693.5  ,      73
17717.9  ,      74
17742.3  ,      71
17766.7  ,      50
17791.1  ,      47
17815.5  ,      56
17839.9  ,      52
17864.3  ,      58
17888.7  ,      34
17913.1  ,      44
17937.5  ,      49
17961.9  ,      43
17986.3  ,      41
18010.7  ,      46
18035.1  ,      48
18059.5  ,      59
18083.9  ,      69
18108.3  ,      48
18132.8  ,      79
18157.2  ,     106
18181.6  ,     121
18206.0  ,     136
18230.4  ,     149
18254.8  ,     151
18279.2  ,     136
18303.6  ,     146
18328.0  ,     137
18352.4  ,     151
18376.8  ,     126
18401.2  ,     104
18425.6  ,      83
18450.0  ,      59
18474.4  ,      59
18498.8  ,      47
18523.2  ,      25
18547.6  ,      20
18572.0  ,      12
18596.4  ,      12
18620.8  ,      15
18645.2  ,      12
18669.7  ,       8
18694.1  ,      13
18718.5  ,      15
18742.9  ,      11
18767.3  ,       8
18791.7  ,      10
18816.1  ,      15
18840.5  ,      10
18864.9  ,       6
18889.3  ,      10
18913.7  ,       8
18938.1  ,       7
18962.5  ,      11
18986.9  ,      12
19011.3  ,      10
19035.7  ,      16
19060.1  ,      16
19084.5  ,      12
19108.9  ,      20
19133.3  ,      16
19157.7  ,      16
19182.1  ,      12
19206.5  ,      17
19231.0  ,      18
19255.4  ,      21
19279.8  ,      23
19304.2  ,      16
19328.6  ,      16
19353.0  ,      16
19377.4  ,      22
19401.8  ,      32
