"Target: BonanzaKing2_RP_raster1_DRT, Contains DAT files: APB_461583138ESC07220401378_______M2.DAT"
  487.6  ,     600
  512.0  ,       0
  536.4  ,       0
  560.8  ,       0
  585.2  ,       0
  609.6  ,     116
  634.0  ,       0
  658.4  ,       0
  682.8  ,       0
  707.2  ,      76
  731.6  ,     188
  755.9  ,     184
  780.3  ,     155
  804.7  ,     168
  829.1  ,     159
  853.5  ,     174
  877.9  ,     199
  902.3  ,     227
  926.7  ,     289
  951.1  ,     322
  975.5  ,     359
  999.9  ,     444
 1024.3  ,     509
 1048.7  ,     476
 1073.1  ,     473
 1097.5  ,     473
 1121.9  ,     380
 1146.3  ,     387
 1170.7  ,     464
 1195.1  ,     543
 1219.5  ,     583
 1243.9  ,     668
 1268.2  ,     610
 1292.6  ,     606
 1317.0  ,     601
 1341.4  ,     748
 1365.8  ,     907
 1390.2  ,    1283
 1414.6  ,    1584
 1439.0  ,    1989
 1463.4  ,    2236
 1487.8  ,    2296
 1512.2  ,    2184
 1536.6  ,    2075
 1561.0  ,    2021
 1585.4  ,    2615
 1609.8  ,    3595
 1634.2  ,    5367
 1658.6  ,    7490
 1683.0  ,    9772
 1707.4  ,   11517
 1731.8  ,   12065
 1756.2  ,   11342
 1780.5  ,    9492
 1804.9  ,    7075
 1829.3  ,    4896
 1853.7  ,    3039
 1878.1  ,    1746
 1902.5  ,    1057
 1926.9  ,     640
 1951.3  ,     459
 1975.7  ,     388
 2000.1  ,     332
 2024.5  ,     348
 2048.9  ,     254
 2073.3  ,     239
 2097.7  ,     203
 2122.1  ,     159
 2146.5  ,     171
 2170.9  ,     152
 2195.3  ,     187
 2219.7  ,     225
 2244.1  ,     260
 2268.5  ,     323
 2292.8  ,     367
 2317.2  ,     316
 2341.6  ,     290
 2366.0  ,     210
 2390.4  ,     178
 2414.8  ,     143
 2439.2  ,      89
 2463.6  ,     103
 2488.0  ,      88
 2512.4  ,      97
 2536.8  ,      92
 2561.2  ,      95
 2585.6  ,      93
 2610.0  ,     126
 2634.4  ,      85
 2658.8  ,      89
 2683.2  ,      65
 2707.6  ,      58
 2732.0  ,      61
 2756.4  ,      43
 2780.7  ,      34
 2805.1  ,      31
 2829.5  ,      33
 2853.9  ,      43
 2878.3  ,      31
 2902.7  ,      40
 2927.1  ,      39
 2951.5  ,      27
 2975.9  ,      24
 3000.3  ,      33
 3024.7  ,      37
 3049.1  ,      19
 3073.5  ,      26
 3097.9  ,      21
 3122.3  ,      37
 3146.7  ,      36
 3171.1  ,      43
 3195.5  ,      51
 3219.9  ,      71
 3244.3  ,      86
 3268.7  ,      82
 3293.0  ,     100
 3317.4  ,      93
 3341.8  ,      97
 3366.2  ,      78
 3390.6  ,      66
 3415.0  ,      76
 3439.4  ,      59
 3463.8  ,      66
 3488.2  ,      59
 3512.6  ,      83
 3537.0  ,     129
 3561.4  ,     165
 3585.8  ,     227
 3610.2  ,     296
 3634.6  ,     401
 3659.0  ,     449
 3683.4  ,     443
 3707.8  ,     408
 3732.2  ,     378
 3756.6  ,     269
 3781.0  ,     198
 3805.3  ,     137
 3829.7  ,      97
 3854.1  ,      68
 3878.5  ,      48
 3902.9  ,      47
 3927.3  ,      42
 3951.7  ,      66
 3976.1  ,      70
 4000.5  ,      76
 4024.9  ,      84
 4049.3  ,      88
 4073.7  ,      50
 4098.1  ,      49
 4122.5  ,      36
 4146.9  ,      21
 4171.3  ,      29
 4195.7  ,      21
 4220.1  ,      25
 4244.5  ,      17
 4268.9  ,      19
 4293.3  ,      24
 4317.6  ,      27
 4342.0  ,      33
 4366.4  ,      36
 4390.8  ,      62
 4415.2  ,      81
 4439.6  ,      90
 4464.0  ,     109
 4488.4  ,      99
 4512.8  ,     117
 4537.2  ,      97
 4561.6  ,      90
 4586.0  ,      65
 4610.4  ,      74
 4634.8  ,      52
 4659.2  ,      44
 4683.6  ,      34
 4708.0  ,      28
 4732.4  ,      23
 4756.8  ,      17
 4781.2  ,      23
 4805.6  ,      20
 4829.9  ,      29
 4854.3  ,      28
 4878.7  ,      34
 4903.1  ,      38
 4927.5  ,      28
 4951.9  ,      32
 4976.3  ,      27
 5000.7  ,      27
 5025.1  ,      26
 5049.5  ,      28
 5073.9  ,      23
 5098.3  ,      14
 5122.7  ,      18
 5147.1  ,      14
 5171.5  ,      14
 5195.9  ,      24
 5220.3  ,      27
 5244.7  ,      28
 5269.1  ,      35
 5293.5  ,      34
 5317.9  ,      45
 5342.2  ,      41
 5366.6  ,      40
 5391.0  ,      55
 5415.4  ,      41
 5439.8  ,      46
 5464.2  ,      51
 5488.6  ,      40
 5513.0  ,      32
 5537.4  ,      32
 5561.8  ,      20
 5586.2  ,      22
 5610.6  ,      27
 5635.0  ,      27
 5659.4  ,      23
 5683.8  ,      19
 5708.2  ,      29
 5732.6  ,      28
 5757.0  ,      38
 5781.4  ,      42
 5805.8  ,      52
 5830.2  ,      54
 5854.5  ,      72
 5878.9  ,      58
 5903.3  ,      64
 5927.7  ,      72
 5952.1  ,      38
 5976.5  ,      50
 6000.9  ,      52
 6025.3  ,      54
 6049.7  ,      61
 6074.1  ,      64
 6098.5  ,      84
 6122.9  ,     119
 6147.3  ,     168
 6171.7  ,     246
 6196.1  ,     434
 6220.5  ,     628
 6244.9  ,    1024
 6269.3  ,    1495
 6293.7  ,    1989
 6318.1  ,    2594
 6342.5  ,    3002
 6366.8  ,    3240
 6391.2  ,    3296
 6415.6  ,    3049
 6440.0  ,    2623
 6464.4  ,    2121
 6488.8  ,    1439
 6513.2  ,    1002
 6537.6  ,     615
 6562.0  ,     363
 6586.4  ,     195
 6610.8  ,      97
 6635.2  ,      56
 6659.6  ,      40
 6684.0  ,      33
 6708.4  ,      28
 6732.8  ,      26
 6757.2  ,      28
 6781.6  ,      41
 6806.0  ,      61
 6830.4  ,      76
 6854.7  ,     111
 6879.1  ,     158
 6903.5  ,     221
 6927.9  ,     291
 6952.3  ,     361
 6976.7  ,     441
 7001.1  ,     485
 7025.5  ,     523
 7049.9  ,     499
 7074.3  ,     543
 7098.7  ,     400
 7123.1  ,     318
 7147.5  ,     231
 7171.9  ,     148
 7196.3  ,     112
 7220.7  ,      62
 7245.1  ,      41
 7269.5  ,      28
 7293.9  ,      16
 7318.3  ,      21
 7342.7  ,      10
 7367.0  ,      18
 7391.4  ,      14
 7415.8  ,      22
 7440.2  ,      24
 7464.6  ,      16
 7489.0  ,      20
 7513.4  ,      23
 7537.8  ,      13
 7562.2  ,      12
 7586.6  ,       6
 7611.0  ,       6
 7635.4  ,      13
 7659.8  ,       9
 7684.2  ,       5
 7708.6  ,       7
 7733.0  ,       6
 7757.4  ,       6
 7781.8  ,      12
 7806.2  ,       3
 7830.6  ,       7
 7855.0  ,       8
 7879.3  ,       9
 7903.7  ,       3
 7928.1  ,       8
 7952.5  ,       9
 7976.9  ,       4
 8001.3  ,      10
 8025.7  ,      19
 8050.1  ,       6
 8074.5  ,       7
 8098.9  ,       6
 8123.3  ,      10
 8147.7  ,      11
 8172.1  ,      14
 8196.5  ,       9
 8220.9  ,      12
 8245.3  ,       9
 8269.7  ,       9
 8294.1  ,      12
 8318.5  ,       4
 8342.9  ,       5
 8367.3  ,       8
 8391.6  ,      16
 8416.0  ,      10
 8440.4  ,       9
 8464.8  ,      19
 8489.2  ,      28
 8513.6  ,      36
 8538.0  ,      34
 8562.4  ,      63
 8586.8  ,      74
 8611.2  ,      62
 8635.6  ,      55
 8660.0  ,      54
 8684.4  ,      51
 8708.8  ,      35
 8733.2  ,      31
 8757.6  ,      24
 8782.0  ,      13
 8806.4  ,      13
 8830.8  ,       0
 8855.2  ,       5
 8879.6  ,       9
 8903.9  ,       8
 8928.3  ,       8
 8952.7  ,       9
 8977.1  ,       8
 9001.5  ,       5
 9025.9  ,      10
 9050.3  ,       6
 9074.7  ,      12
 9099.1  ,       7
 9123.5  ,      11
 9147.9  ,       8
 9172.3  ,       9
 9196.7  ,       7
 9221.1  ,       4
 9245.5  ,      16
 9269.9  ,      13
 9294.3  ,       9
 9318.7  ,       5
 9343.1  ,      12
 9367.5  ,       8
 9391.9  ,       9
 9416.2  ,      11
 9440.6  ,      15
 9465.0  ,      12
 9489.4  ,      12
 9513.8  ,      17
 9538.2  ,      18
 9562.6  ,      15
 9587.0  ,      11
 9611.4  ,      13
 9635.8  ,       8
 9660.2  ,      15
 9684.6  ,      13
 9709.0  ,      13
 9733.4  ,      11
 9757.8  ,      13
 9782.2  ,       6
 9806.6  ,       9
 9831.0  ,      15
 9855.4  ,      11
 9879.8  ,      13
 9904.2  ,      21
 9928.5  ,       7
 9952.9  ,      11
 9977.3  ,       7
10001.7  ,       6
10026.1  ,       5
10050.5  ,      13
10074.9  ,      12
10099.3  ,       5
10123.7  ,       7
10148.1  ,       4
10172.5  ,       5
10196.9  ,      11
10221.3  ,       7
10245.7  ,       9
10270.1  ,       6
10294.5  ,       8
10318.9  ,       5
10343.3  ,      10
10367.7  ,       9
10392.1  ,       8
10416.5  ,       6
10440.8  ,      12
10465.2  ,       7
10489.6  ,       5
10514.0  ,       1
10538.4  ,       4
10562.8  ,       9
10587.2  ,       5
10611.6  ,       6
10636.0  ,       8
10660.4  ,       6
10684.8  ,       3
10709.2  ,       5
10733.6  ,       7
10758.0  ,       4
10782.4  ,       8
10806.8  ,       5
10831.2  ,       4
10855.6  ,       8
10880.0  ,       7
10904.4  ,       3
10928.8  ,       9
10953.1  ,       8
10977.5  ,       9
11001.9  ,       5
11026.3  ,      11
11050.7  ,       5
11075.1  ,       9
11099.5  ,      10
11123.9  ,      17
11148.3  ,       7
11172.7  ,      11
11197.1  ,       4
11221.5  ,       7
11245.9  ,       6
11270.3  ,       7
11294.7  ,       7
11319.1  ,       3
11343.5  ,      10
11367.9  ,      15
11392.3  ,       7
11416.7  ,       8
11441.0  ,      10
11465.4  ,      13
11489.8  ,       9
11514.2  ,      10
11538.6  ,      19
11563.0  ,      11
11587.4  ,      15
11611.8  ,      19
11636.2  ,      14
11660.6  ,      17
11685.0  ,      17
11709.4  ,      13
11733.8  ,      13
11758.2  ,      12
11782.6  ,      24
11807.0  ,      17
11831.4  ,      19
11855.8  ,      26
11880.2  ,      25
11904.6  ,      25
11929.0  ,      29
11953.3  ,      18
11977.7  ,      32
12002.1  ,      23
12026.5  ,      17
12050.9  ,      27
12075.3  ,      27
12099.7  ,      14
12124.1  ,      24
12148.5  ,      16
12172.9  ,      18
12197.3  ,      10
12221.7  ,      16
12246.1  ,      17
12270.5  ,      16
12294.9  ,      16
12319.3  ,      13
12343.7  ,      13
12368.1  ,       9
12392.5  ,      11
12416.9  ,      10
12441.3  ,      11
12465.6  ,      10
12490.0  ,      16
12514.4  ,      10
12538.8  ,      10
12563.2  ,      14
12587.6  ,      10
12612.0  ,      17
12636.4  ,      13
12660.8  ,      16
12685.2  ,      13
12709.6  ,      12
12734.0  ,      19
12758.4  ,      13
12782.8  ,      19
12807.2  ,      17
12831.6  ,      28
12856.0  ,      16
12880.4  ,      24
12904.8  ,      29
12929.2  ,      28
12953.6  ,      28
12977.9  ,      25
13002.3  ,      27
13026.7  ,      35
13051.1  ,      29
13075.5  ,      42
13099.9  ,      39
13124.3  ,      32
13148.7  ,      55
13173.1  ,      55
13197.5  ,      72
13221.9  ,      70
13246.3  ,      51
13270.7  ,      59
13295.1  ,      88
13319.5  ,     100
13343.9  ,      90
13368.3  ,     124
13392.7  ,     122
13417.1  ,     125
13441.5  ,     129
13465.9  ,     121
13490.2  ,     122
13514.6  ,     117
13539.0  ,     128
13563.4  ,     157
13587.8  ,     127
13612.2  ,     120
13636.6  ,     125
13661.0  ,     124
13685.4  ,     109
13709.8  ,      88
13734.2  ,      88
13758.6  ,      91
13783.0  ,      78
13807.4  ,      46
13831.8  ,      66
13856.2  ,      51
13880.6  ,      59
13905.0  ,      45
13929.4  ,      53
13953.8  ,      63
13978.2  ,      53
14002.5  ,      66
14026.9  ,      79
14051.3  ,      96
14075.7  ,      96
14100.1  ,     104
14124.5  ,     126
14148.9  ,     137
14173.3  ,     136
14197.7  ,     180
14222.1  ,     158
14246.5  ,     185
14270.9  ,     176
14295.3  ,     168
14319.7  ,     145
14344.1  ,     125
14368.5  ,     115
14392.9  ,      67
14417.3  ,      82
14441.7  ,      52
14466.1  ,      49
14490.5  ,      30
14514.8  ,      29
14539.2  ,      18
14563.6  ,      13
14588.0  ,      11
14612.4  ,       7
14636.8  ,       5
14661.2  ,      12
14685.6  ,       6
14710.0  ,       6
14734.4  ,      12
14758.8  ,       9
14783.2  ,      12
14807.6  ,      11
14832.0  ,      11
14856.4  ,      14
14880.8  ,      20
14905.2  ,      17
14929.6  ,      10
14954.0  ,      18
14978.4  ,      16
15002.8  ,      21
15027.1  ,      25
15051.5  ,      14
15075.9  ,      12
15100.3  ,      10
15124.7  ,       6
15149.1  ,       8
15173.5  ,      16
15197.9  ,      14
15222.3  ,      19
15246.7  ,      17
15271.1  ,      27
15295.5  ,      16
15319.9  ,      24
15344.3  ,      29
15368.7  ,      26
15393.1  ,      22
15417.5  ,      21
15441.9  ,      32
15466.3  ,      30
15490.7  ,      45
15515.0  ,      49
15539.4  ,      65
15563.8  ,      80
15588.2  ,      83
15612.6  ,     135
15637.0  ,     125
15661.4  ,     159
15685.8  ,     196
15710.2  ,     179
15734.6  ,     209
15759.0  ,     190
15783.4  ,     197
15807.8  ,     176
15832.2  ,     140
15856.6  ,     122
15881.0  ,     117
15905.4  ,      90
15929.8  ,      92
15954.2  ,      61
15978.6  ,      61
16003.0  ,      60
16027.3  ,      45
16051.7  ,      55
16076.1  ,      62
16100.5  ,      61
16124.9  ,      47
16149.3  ,      55
16173.7  ,      69
16198.1  ,      58
16222.5  ,      56
16246.9  ,      70
16271.3  ,      75
16295.7  ,      62
16320.1  ,      61
16344.5  ,      63
16368.9  ,      52
16393.3  ,      50
16417.7  ,      56
16442.1  ,      61
16466.5  ,      68
16490.9  ,      58
16515.3  ,      78
16539.6  ,      69
16564.0  ,      65
16588.4  ,      64
16612.8  ,      79
16637.2  ,      77
16661.6  ,      78
16686.0  ,      66
16710.4  ,      78
16734.8  ,      69
16759.2  ,      77
16783.6  ,      91
16808.0  ,      92
16832.4  ,     115
16856.8  ,     110
16881.2  ,     116
16905.6  ,     131
16930.0  ,     138
16954.4  ,     118
16978.8  ,     126
17003.2  ,     149
17027.6  ,     147
17051.9  ,     159
17076.3  ,     132
17100.7  ,     171
17125.1  ,     167
17149.5  ,     170
17173.9  ,     165
17198.3  ,     172
17222.7  ,     185
17247.1  ,     169
17271.5  ,     172
17295.9  ,     145
17320.3  ,     142
17344.7  ,     123
17369.1  ,     116
17393.5  ,     116
17417.9  ,      74
17442.3  ,      96
17466.7  ,      82
17491.1  ,      93
17515.5  ,      90
17539.9  ,      75
17564.2  ,      81
17588.6  ,      78
17613.0  ,      77
17637.4  ,      85
17661.8  ,      88
17686.2  ,      59
17710.6  ,      59
17735.0  ,      67
17759.4  ,      59
17783.8  ,      48
17808.2  ,      41
17832.6  ,      49
17857.0  ,      38
17881.4  ,      40
17905.8  ,      40
17930.2  ,      39
17954.6  ,      44
17979.0  ,      39
18003.4  ,      26
18027.8  ,      29
18052.2  ,      40
18076.5  ,      56
18100.9  ,      49
18125.3  ,      63
18149.7  ,      87
18174.1  ,      81
18198.5  ,     117
18222.9  ,     115
18247.3  ,     118
18271.7  ,     128
18296.1  ,     138
18320.5  ,     113
18344.9  ,     111
18369.3  ,     112
18393.7  ,      90
18418.1  ,      94
18442.5  ,      62
18466.9  ,      46
18491.3  ,      37
18515.7  ,      29
18540.1  ,      22
18564.5  ,      19
18588.8  ,       5
18613.2  ,      12
18637.6  ,      14
18662.0  ,       4
18686.4  ,      10
18710.8  ,       9
18735.2  ,       9
18759.6  ,       7
18784.0  ,       4
18808.4  ,       9
18832.8  ,      13
18857.2  ,       7
18881.6  ,       8
18906.0  ,      15
18930.4  ,      17
18954.8  ,       8
18979.2  ,       6
19003.6  ,      15
19028.0  ,       6
19052.4  ,      13
19076.8  ,       9
19101.1  ,      13
19125.5  ,      17
19149.9  ,      12
19174.3  ,      13
19198.7  ,      11
19223.1  ,      13
19247.5  ,      14
19271.9  ,      16
19296.3  ,      16
19320.7  ,      23
19345.1  ,      27
19369.5  ,      16
19393.9  ,      19
19418.3  ,      25
19442.7  ,      28
19467.1  ,      26
19491.5  ,      35
19515.9  ,      25
19540.3  ,      33
19564.7  ,      26
19589.0  ,      28
19613.4  ,      41
19637.8  ,      41
19662.2  ,      36
19686.6  ,      37
19711.0  ,      43
19735.4  ,      41
19759.8  ,      41
19784.2  ,      50
19808.6  ,      33
19833.0  ,      47
19857.4  ,      38
19881.8  ,      45
19906.2  ,      38
19930.6  ,      38
19955.0  ,      37
19979.4  ,      46
20003.8  ,      41
20028.2  ,      36
20052.6  ,      26
20077.0  ,      18
20101.3  ,      27
