"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.56    ,  0.14  
MgO     ,  5.81    ,  0.17  
Al2O3   ,  9.62    ,  0.29  
SiO2    , 48.72    ,  0.54  
P2O5    ,  0.80    ,  0.05  
SO3     ,  5.54    ,  0.08  
Cl      ,  1.67    ,  0.02  
K2O     ,  0.79    ,  0.02  
CaO     ,  3.55    ,  0.04  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.09    ,  0.01  
FeO     , 19.16    ,  0.20  
Ni      ,  0.0899  ,  0.0045
Zn      ,  0.0839  ,  0.0030
Br      ,  0.0078  ,  0.0005
