"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.07    ,  0.14  
MgO     ,  3.92    ,  0.17  
Al2O3   ,  7.54    ,  0.19  
SiO2    , 37.65    ,  0.43  
P2O5    ,  0.87    ,  0.05  
SO3     , 14.96    ,  0.17  
Cl      ,  2.06    ,  0.04  
K2O     ,  0.64    ,  0.02  
CaO     ,  8.19    ,  0.08  
TiO2    ,  0.99    ,  0.05  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.10    ,  0.01  
FeO     , 20.28    ,  0.26  
Ni      ,  0.1025  ,  0.0055
Zn      ,  0.1006  ,  0.0035
Br      ,  0.0232  ,  0.0015
