"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.59    ,  0.20  
MgO     ,  8.73    ,  0.25  
Al2O3   ,  8.59    ,  0.29  
SiO2    , 41.85    ,  0.64  
P2O5    ,  0.98    ,  0.07  
SO3     ,  9.96    ,  0.28  
Cl      ,  0.97    ,  0.06  
K2O     ,  0.66    ,  0.04  
CaO     ,  4.96    ,  0.10  
TiO2    ,  0.99    ,  0.07  
Cr2O3   ,  0.25    ,  0.05  
MnO     ,  0.27    ,  0.03  
FeO     , 18.94    ,  0.20  
Ni      ,  0.0925  ,  0.0070
Zn      ,  0.0707  ,  0.0040
Br      ,  0.0094  ,  0.0015
