"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.34    ,  0.14  
MgO     ,  6.16    ,  0.17  
Al2O3   ,  6.53    ,  0.19  
SiO2    , 53.13    ,  0.54  
P2O5    ,  1.19    ,  0.07  
SO3     , 11.05    ,  0.12  
Cl      ,  1.03    ,  0.02  
K2O     ,  0.50    ,  0.02  
CaO     ,  5.55    ,  0.06  
TiO2    ,  1.09    ,  0.03  
Cr2O3   ,  0.46    ,  0.01  
MnO     ,  0.09    ,  0.01  
FeO     , 10.71    ,  0.13  
Ni      ,  0.0224  ,  0.0015
Zn      ,  0.0265  ,  0.0010
Br      ,  0.0514  ,  0.0020
