"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.51    ,  0.20  
MgO     ,  6.76    ,  0.25  
Al2O3   ,  8.93    ,  0.29  
SiO2    , 44.21    ,  0.75  
P2O5    ,  0.81    ,  0.07  
SO3     ,  7.88    ,  0.25  
Cl      ,  1.14    ,  0.06  
K2O     ,  0.62    ,  0.04  
CaO     ,  5.13    ,  0.11  
TiO2    ,  1.07    ,  0.07  
Cr2O3   ,  0.33    ,  0.05  
MnO     ,  0.19    ,  0.03  
FeO     , 20.12    ,  0.26  
Ni      ,  0.1073  ,  0.0075
Zn      ,  0.1074  ,  0.0050
Br      ,  0.0122  ,  0.0020
