"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.44    ,  0.14  
MgO     ,  7.74    ,  0.17  
Al2O3   ,  8.30    ,  0.19  
SiO2    , 42.58    ,  0.43  
P2O5    ,  1.27    ,  0.07  
SO3     ,  7.57    ,  0.10  
Cl      ,  2.06    ,  0.03  
K2O     ,  0.64    ,  0.02  
CaO     ,  4.81    ,  0.06  
TiO2    ,  1.01    ,  0.03  
Cr2O3   ,  0.24    ,  0.01  
MnO     ,  0.36    ,  0.01  
FeO     , 20.58    ,  0.26  
Ni      ,  0.0468  ,  0.0025
Zn      ,  0.1950  ,  0.0060
Br      ,  0.0847  ,  0.0030
