"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.49    ,  0.20  
MgO     ,  7.76    ,  0.25  
Al2O3   ,  8.60    ,  0.29  
SiO2    , 44.61    ,  0.64  
P2O5    ,  0.90    ,  0.07  
SO3     ,  5.82    ,  0.20  
Cl      ,  1.22    ,  0.06  
K2O     ,  0.75    ,  0.04  
CaO     ,  5.15    ,  0.10  
TiO2    ,  0.96    ,  0.09  
Cr2O3   ,  0.42    ,  0.05  
MnO     ,  0.33    ,  0.04  
FeO     , 20.42    ,  0.26  
Ni      ,  0.1026  ,  0.0070
Zn      ,  0.1650  ,  0.0060
Br      ,  0.0343  ,  0.0020
