"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.14  
MgO     ,  7.68    ,  0.17  
Al2O3   ,  7.47    ,  0.19  
SiO2    , 38.29    ,  0.54  
P2O5    ,  1.37    ,  0.07  
SO3     , 15.30    ,  0.22  
Cl      ,  1.36    ,  0.04  
K2O     ,  0.60    ,  0.02  
CaO     ,  6.52    ,  0.08  
TiO2    ,  0.83    ,  0.03  
Cr2O3   ,  0.24    ,  0.03  
MnO     ,  0.19    ,  0.03  
FeO     , 17.50    ,  0.20  
Ni      ,  0.0822  ,  0.0045
Zn      ,  0.1145  ,  0.0035
Br      ,  0.0171  ,  0.0010
