"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.47    ,  0.13  
MgO     ,  7.72    ,  0.17  
Al2O3   ,  8.54    ,  0.19  
SiO2    , 45.51    ,  0.53  
P2O5    ,  0.93    ,  0.07  
SO3     ,  2.60    ,  0.05  
Cl      ,  1.57    ,  0.02  
K2O     ,  0.71    ,  0.02  
CaO     ,  5.99    ,  0.07  
TiO2    ,  1.19    ,  0.05  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 21.92    ,  0.26  
Ni      ,  0.0341  ,  0.0020
Zn      ,  0.0637  ,  0.0020
Br      ,  0.0287  ,  0.0010
