"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.05    ,  0.13  
MgO     ,  6.73    ,  0.17  
Al2O3   ,  8.19    ,  0.19  
SiO2    , 42.70    ,  0.64  
P2O5    ,  0.89    ,  0.07  
SO3     ,  5.93    ,  0.17  
Cl      ,  1.11    ,  0.05  
K2O     ,  0.58    ,  0.04  
CaO     ,  6.52    ,  0.11  
TiO2    ,  1.34    ,  0.07  
Cr2O3   ,  0.43    ,  0.04  
MnO     ,  0.34    ,  0.04  
FeO     , 22.89    ,  0.26  
Ni      ,  0.0372  ,  0.0040
Zn      ,  0.0676  ,  0.0035
Br      ,  0.0286  ,  0.0015
