"Target: Ekwir_1, Contains DAT files: APA_410773493ESC01500051902_______M2.DAT"
 6960.2  ,   27665
 6984.6  ,   39187
 7009.1  ,   49021
 7033.5  ,   54034
 7057.9  ,   51295
 7082.4  ,   43887
 7106.8  ,   31727
 7131.2  ,   20712
 7155.6  ,   11464
 7180.1  ,    5911
 7204.5  ,    2906
 7228.9  ,    1410
 7253.4  ,     766
 7277.8  ,     571
 7302.2  ,     552
 7326.6  ,     585
 7351.1  ,     766
 7375.5  ,     926
 7399.9  ,    1136
 7424.4  ,    1340
 7448.8  ,    1528
 7473.2  ,    1544
 7497.6  ,    1291
 7522.1  ,    1194
 7546.5  ,     863
 7570.9  ,     678
 7595.4  ,     538
 7619.8  ,     431
 7644.2  ,     422
 7668.6  ,     423
 7693.1  ,     381
 7717.5  ,     385
 7741.9  ,     382
 7766.4  ,     388
 7790.8  ,     385
 7815.2  ,     426
 7839.7  ,     476
 7864.1  ,     428
 7888.5  ,     458
 7912.9  ,     480
 7937.4  ,     458
 7961.8  ,     457
 7986.2  ,     563
 8010.7  ,     545
 8035.1  ,     623
 8059.5  ,     597
 8083.9  ,     567
 8108.4  ,     513
 8132.8  ,     478
 8157.2  ,     485
 8181.7  ,     498
 8206.1  ,     519
 8230.5  ,     578
 8254.9  ,     553
 8279.4  ,     562
 8303.8  ,     520
 8328.2  ,     443
 8352.7  ,     454
 8377.1  ,     476
 8401.5  ,     479
 8425.9  ,     522
 8450.4  ,     620
 8474.8  ,     832
 8499.2  ,    1205
 8523.7  ,    1691
 8548.1  ,    2466
 8572.5  ,    2990
 8596.9  ,    3452
 8621.4  ,    3627
 8645.8  ,    3465
 8670.2  ,    2772
 8694.7  ,    2106
 8719.1  ,    1498
 8743.5  ,    1011
 8767.9  ,     663
 8792.4  ,     480
 8816.8  ,     411
 8841.2  ,     411
 8865.7  ,     409
 8890.1  ,     385
 8914.5  ,     388
 8938.9  ,     386
 8963.4  ,     378
 8987.8  ,     380
 9012.2  ,     399
 9036.7  ,     388
 9061.1  ,     400
 9085.5  ,     336
 9109.9  ,     353
 9134.4  ,     392
 9158.8  ,     411
 9183.2  ,     445
 9207.7  ,     479
 9232.1  ,     431
 9256.5  ,     452
 9280.9  ,     432
 9305.4  ,     433
 9329.8  ,     433
 9354.2  ,     385
 9378.7  ,     409
 9403.1  ,     434
 9427.5  ,     491
 9451.9  ,     543
 9476.4  ,     633
 9500.8  ,     766
 9525.2  ,     842
 9549.7  ,     847
 9574.1  ,     857
 9598.5  ,     805
 9622.9  ,     682
 9647.4  ,     624
 9671.8  ,     540
 9696.2  ,     525
 9720.7  ,     470
 9745.1  ,     512
 9769.5  ,     569
 9793.9  ,     647
 9818.4  ,     690
 9842.8  ,     790
 9867.2  ,     775
 9891.7  ,     761
 9916.1  ,     741
 9940.5  ,     612
 9965.0  ,     550
 9989.4  ,     449
10013.8  ,     383
10038.2  ,     362
10062.7  ,     320
10087.1  ,     335
10111.5  ,     308
10136.0  ,     331
10160.4  ,     295
10184.8  ,     333
10209.2  ,     358
10233.7  ,     360
10258.1  ,     341
10282.5  ,     344
10307.0  ,     306
10331.4  ,     349
10355.8  ,     297
10380.2  ,     340
10404.7  ,     347
10429.1  ,     365
10453.5  ,     372
10478.0  ,     372
10502.4  ,     388
10526.8  ,     417
10551.2  ,     395
10575.7  ,     410
10600.1  ,     385
10624.5  ,     355
10649.0  ,     362
10673.4  ,     350
10697.8  ,     314
10722.2  ,     370
10746.7  ,     313
10771.1  ,     334
10795.5  ,     357
10820.0  ,     355
10844.4  ,     367
10868.8  ,     408
10893.2  ,     402
10917.7  ,     397
10942.1  ,     436
10966.5  ,     441
10991.0  ,     453
11015.4  ,     423
11039.8  ,     427
11064.2  ,     434
11088.7  ,     436
11113.1  ,     401
11137.5  ,     403
11162.0  ,     429
11186.4  ,     383
11210.8  ,     410
11235.2  ,     415
11259.7  ,     420
11284.1  ,     444
11308.5  ,     466
11333.0  ,     493
11357.4  ,     513
11381.8  ,     538
11406.2  ,     562
11430.7  ,     567
11455.1  ,     563
11479.5  ,     588
11504.0  ,     649
11528.4  ,     662
11552.8  ,     619
11577.2  ,     730
11601.7  ,     709
11626.1  ,     730
11650.5  ,     727
11675.0  ,     770
11699.4  ,     858
11723.8  ,     965
11748.2  ,    1235
11772.7  ,    1588
11797.1  ,    2134
11821.5  ,    2606
11846.0  ,    3084
11870.4  ,    3431
11894.8  ,    3787
11919.3  ,    3642
11943.7  ,    3274
11968.1  ,    2876
11992.5  ,    2432
12017.0  ,    1987
12041.4  ,    1641
12065.8  ,    1451
12090.3  ,    1373
12114.7  ,    1254
12139.1  ,    1118
12163.5  ,    1031
12188.0  ,    1012
12212.4  ,     837
12236.8  ,     766
12261.3  ,     636
12285.7  ,     602
12310.1  ,     598
12334.5  ,     554
12359.0  ,     591
12383.4  ,     514
12407.8  ,     541
12432.3  ,     546
12456.7  ,     583
12481.1  ,     581
12505.5  ,     641
12530.0  ,     606
12554.4  ,     656
12578.8  ,     716
12603.3  ,     687
12627.7  ,     715
12652.1  ,     769
12676.5  ,     710
12701.0  ,     747
12725.4  ,     816
