"Target: Grit_RP, Contains DAT files: APA_410805967ESC01500051902_______M2.DAT"
 7455.8  ,      30
 7480.2  ,      29
 7504.7  ,      36
 7529.1  ,      28
 7553.6  ,      19
 7578.1  ,      23
 7602.5  ,      11
 7627.0  ,      10
 7651.4  ,       8
 7675.9  ,      10
 7700.3  ,      10
 7724.8  ,       9
 7749.2  ,       7
 7773.7  ,      10
 7798.1  ,      15
 7822.6  ,      11
 7847.0  ,       6
 7871.5  ,      12
 7895.9  ,      13
 7920.4  ,       8
 7944.8  ,      13
 7969.3  ,      14
 7993.7  ,      15
 8018.2  ,      12
 8042.7  ,      13
 8067.1  ,      11
 8091.6  ,      13
 8116.0  ,       5
 8140.5  ,      17
 8164.9  ,      15
 8189.4  ,      18
 8213.8  ,      12
 8238.3  ,       7
 8262.7  ,      14
 8287.2  ,      25
 8311.6  ,      14
 8336.1  ,      16
 8360.5  ,       5
 8385.0  ,      10
 8409.4  ,       9
 8433.9  ,      11
 8458.3  ,      15
 8482.8  ,      24
 8507.2  ,      17
 8531.7  ,      53
 8556.2  ,      73
 8580.6  ,      71
 8605.1  ,      93
 8629.5  ,      75
 8654.0  ,      66
 8678.4  ,      75
 8702.9  ,      46
 8727.3  ,      29
 8751.8  ,      26
 8776.2  ,      28
 8800.7  ,       8
 8825.1  ,      11
 8849.6  ,      11
 8874.0  ,       7
 8898.5  ,      10
 8922.9  ,       7
 8947.4  ,       8
 8971.8  ,      10
 8996.3  ,      11
 9020.8  ,      11
 9045.2  ,      19
 9069.7  ,      10
 9094.1  ,       9
 9118.6  ,       5
 9143.0  ,       5
 9167.5  ,       8
 9191.9  ,      11
 9216.4  ,      10
 9240.8  ,      11
 9265.3  ,       9
 9289.7  ,      13
 9314.2  ,      19
 9338.6  ,      15
 9363.1  ,       7
 9387.5  ,       9
 9412.0  ,      17
 9436.4  ,      10
 9460.9  ,      15
 9485.4  ,      14
 9509.8  ,      19
 9534.3  ,      22
 9558.7  ,      22
 9583.2  ,      26
 9607.6  ,      13
 9632.1  ,      12
 9656.5  ,       9
 9681.0  ,      14
 9705.4  ,      15
 9729.9  ,      16
 9754.3  ,      12
 9778.8  ,      14
 9803.2  ,      16
 9827.7  ,      19
 9852.1  ,      23
 9876.6  ,      28
 9901.0  ,      11
 9925.5  ,      16
 9950.0  ,      10
 9974.4  ,       7
 9998.9  ,      11
10023.3  ,       8
10047.8  ,       8
10072.2  ,      10
10096.7  ,       7
10121.1  ,       7
10145.6  ,       9
10170.0  ,      10
10194.5  ,       6
10218.9  ,       9
10243.4  ,      10
10267.8  ,      13
10292.3  ,      11
10316.7  ,      12
10341.2  ,       3
10365.6  ,       6
10390.1  ,       9
10414.6  ,      10
10439.0  ,       9
10463.5  ,      10
10487.9  ,      13
10512.4  ,       6
10536.8  ,      14
10561.3  ,      12
10585.7  ,       4
10610.2  ,       2
10634.6  ,      12
10659.1  ,       6
10683.5  ,      13
10708.0  ,       4
10732.4  ,       9
10756.9  ,       9
10781.3  ,      11
10805.8  ,       5
10830.2  ,       6
10854.7  ,      11
10879.2  ,       6
10903.6  ,       6
10928.1  ,      12
10952.5  ,      14
10977.0  ,       7
11001.4  ,      11
11025.9  ,       5
11050.3  ,       6
11074.8  ,      12
11099.2  ,      11
11123.7  ,      12
11148.1  ,      17
11172.6  ,       6
11197.0  ,       7
11221.5  ,       8
11245.9  ,       7
11270.4  ,       8
11294.8  ,      14
11319.3  ,       6
11343.8  ,      12
11368.2  ,      11
11392.7  ,      12
11417.1  ,      12
11441.6  ,      20
11466.0  ,      11
11490.5  ,      13
11514.9  ,      24
11539.4  ,      12
11563.8  ,      16
11588.3  ,      12
11612.7  ,      10
11637.2  ,      19
11661.6  ,      16
11686.1  ,      17
11710.5  ,      23
11735.0  ,      19
11759.4  ,      32
11783.9  ,      50
11808.3  ,      59
11832.8  ,      65
11857.3  ,      67
11881.7  ,      88
11906.2  ,      83
11930.6  ,      67
11955.1  ,      58
11979.5  ,      56
12004.0  ,      74
12028.4  ,      46
12052.9  ,      42
12077.3  ,      29
12101.8  ,      18
12126.2  ,      18
12150.7  ,      20
12175.1  ,      26
12199.6  ,      22
12224.0  ,      20
12248.5  ,      17
12272.9  ,      15
12297.4  ,      17
12321.9  ,      17
12346.3  ,       7
12370.8  ,      16
12395.2  ,      18
12419.7  ,      12
12444.1  ,      12
12468.6  ,      12
12493.0  ,       9
12517.5  ,      10
12541.9  ,      13
12566.4  ,      16
12590.8  ,      16
12615.3  ,      19
12639.7  ,      18
12664.2  ,      19
12688.6  ,      10
12713.1  ,      12
12737.5  ,      18
12762.0  ,      16
12786.5  ,      25
12810.9  ,      20
12835.4  ,      17
12859.8  ,      25
12884.3  ,      31
12908.7  ,      19
12933.2  ,      25
12957.6  ,      30
12982.1  ,      32
13006.5  ,      22
13031.0  ,      24
13055.4  ,      28
13079.9  ,      51
13104.3  ,      47
13128.8  ,      49
13153.2  ,      51
13177.7  ,      59
13202.1  ,      66
13226.6  ,      65
13251.1  ,      80
13275.5  ,      85
13300.0  ,     104
13324.4  ,     115
13348.9  ,     127
13373.3  ,     119
13397.8  ,     132
13422.2  ,     143
13446.7  ,     134
13471.1  ,     158
13495.6  ,     152
13520.0  ,     157
13544.5  ,     161
13568.9  ,     156
13593.4  ,     141
13617.8  ,     152
13642.3  ,     138
13666.7  ,     113
13691.2  ,     113
13715.7  ,     110
13740.1  ,     105
13764.6  ,      90
13789.0  ,      78
13813.5  ,      65
13837.9  ,      77
13862.4  ,      47
13886.8  ,      67
13911.3  ,      56
13935.7  ,      57
13960.2  ,      60
13984.6  ,      52
14009.1  ,      67
14033.5  ,      68
14058.0  ,      80
14082.4  ,     104
14106.9  ,      99
14131.3  ,     116
14155.8  ,     143
14180.3  ,     150
14204.7  ,     188
14229.2  ,     216
14253.6  ,     254
14278.1  ,     230
14302.5  ,     261
14327.0  ,     215
14351.4  ,     207
14375.9  ,     167
14400.3  ,     100
14424.8  ,      68
14449.2  ,      61
14473.7  ,      44
14498.1  ,      26
14522.6  ,      17
14547.0  ,      15
14571.5  ,      14
14595.9  ,       7
14620.4  ,      15
14644.9  ,      20
14669.3  ,      11
14693.8  ,       5
14718.2  ,      14
14742.7  ,       7
14767.1  ,      19
14791.6  ,      12
14816.0  ,      10
14840.5  ,       8
14864.9  ,      11
14889.4  ,      14
14913.8  ,      18
14938.3  ,      16
14962.7  ,      25
14987.2  ,      16
15011.6  ,      18
15036.1  ,      23
15060.5  ,      21
15085.0  ,      16
15109.4  ,      20
15133.9  ,      21
15158.4  ,      21
15182.8  ,       9
15207.3  ,      16
15231.7  ,      26
15256.2  ,      25
15280.6  ,      21
15305.1  ,      20
15329.5  ,      19
15354.0  ,      24
15378.4  ,      18
15402.9  ,      28
15427.3  ,      34
15451.8  ,      32
15476.2  ,      38
15500.7  ,      44
15525.1  ,      46
15549.6  ,      52
15574.0  ,      60
15598.5  ,      92
15623.0  ,     120
15647.4  ,     163
15671.9  ,     192
15696.3  ,     204
15720.8  ,     217
15745.2  ,     234
15769.7  ,     256
15794.1  ,     242
15818.6  ,     201
15843.0  ,     154
15867.5  ,     162
15891.9  ,     106
15916.4  ,      98
15940.8  ,      79
15965.3  ,      50
15989.7  ,      51
16014.2  ,      54
16038.6  ,      64
16063.1  ,      50
16087.6  ,      47
16112.0  ,      47
16136.5  ,      58
16160.9  ,      49
16185.4  ,      67
16209.8  ,      56
16234.3  ,      70
16258.7  ,      85
16283.2  ,      83
16307.6  ,      68
16332.1  ,      70
16356.5  ,      67
16381.0  ,      68
16405.4  ,      67
16429.9  ,      65
16454.3  ,      69
16478.8  ,      75
16503.2  ,      71
16527.7  ,      60
16552.2  ,      56
16576.6  ,      66
16601.1  ,      88
16625.5  ,      63
16650.0  ,      69
16674.4  ,      60
16698.9  ,      84
16723.3  ,      75
16747.8  ,      77
16772.2  ,      84
16796.7  ,     107
16821.1  ,      97
16845.6  ,     108
16870.0  ,     127
16894.5  ,     145
16918.9  ,     129
16943.4  ,     143
16967.8  ,     162
16992.3  ,     151
17016.8  ,     161
17041.2  ,     167
17065.7  ,     186
17090.1  ,     198
17114.6  ,     208
17139.0  ,     183
17163.5  ,     223
17187.9  ,     213
17212.4  ,     210
17236.8  ,     195
17261.3  ,     214
17285.7  ,     196
17310.2  ,     186
17334.6  ,     176
17359.1  ,     154
17383.5  ,     163
17408.0  ,     139
17432.4  ,      97
17456.9  ,     115
17481.4  ,     102
17505.8  ,      86
17530.3  ,      70
17554.7  ,      75
17579.2  ,      80
17603.6  ,      72
17628.1  ,      71
17652.5  ,      66
17677.0  ,      85
17701.4  ,      71
17725.9  ,      72
17750.3  ,      67
17774.8  ,      59
