"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.22    ,  0.07  
MgO     ,  6.69    ,  0.17  
Al2O3   ,  8.39    ,  0.19  
SiO2    , 43.77    ,  0.53  
P2O5    ,  0.91    ,  0.05  
SO3     ,  5.89    ,  0.07  
Cl      ,  1.24    ,  0.02  
K2O     ,  0.64    ,  0.02  
CaO     ,  6.33    ,  0.07  
TiO2    ,  1.25    ,  0.05  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 21.83    ,  0.26  
Ni      ,  0.0352  ,  0.0020
Zn      ,  0.0632  ,  0.0020
Br      ,  0.0272  ,  0.0010
