"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.58    ,  0.14  
MgO     ,  8.19    ,  0.25  
Al2O3   ,  9.39    ,  0.19  
SiO2    , 46.32    ,  0.64  
P2O5    ,  1.00    ,  0.07  
SO3     ,  5.73    ,  0.15  
Cl      ,  1.63    ,  0.05  
K2O     ,  0.83    ,  0.04  
CaO     ,  3.96    ,  0.07  
TiO2    ,  1.05    ,  0.07  
Cr2O3   ,  0.31    ,  0.03  
MnO     ,  0.30    ,  0.03  
FeO     , 18.31    ,  0.20  
Ni      ,  0.0790  ,  0.0050
Zn      ,  0.1329  ,  0.0040
Br      ,  0.0316  ,  0.0015
