"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.14  
MgO     ,  5.69    ,  0.17  
Al2O3   ,  8.96    ,  0.19  
SiO2    , 46.65    ,  0.54  
P2O5    ,  0.93    ,  0.07  
SO3     ,  8.46    ,  0.10  
Cl      ,  0.88    ,  0.02  
K2O     ,  0.96    ,  0.04  
CaO     ,  5.19    ,  0.06  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 18.03    ,  0.20  
Ni      ,  0.0808  ,  0.0045
Zn      ,  0.0962  ,  0.0030
Br      ,  0.0323  ,  0.0010
