" oxide", " APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,6.07,0.3
MgO     ,3.8,0.2
Al2O3   ,14.9,0.3
SiO2    ,49.5,0.5
P2O5    ,0.51,0.1
SO3     ,3.05,0.1
  Cl    ,0.9,0.05
K2O     ,2.09,0.1
CaO     ,6.54,0.1
TiO2    ,0.91,0.1
Cr2O3   ,0.03,0.05
MnO     ,0.16,0.02
FeO     ,11.4,0.1
  Ni    ,0,0.005
  Zn    ,0.0283,0.0025
  Br    ,0.007,0.003
