"  JakeMatijevic2 , contact"
  490.5  ,     720
  515.0  ,       0
  539.5  ,       0
  563.9  ,       0
  588.4  ,       0
  612.8  ,       0
  637.3  ,       1
  661.7  ,       1
  686.2  ,       1
  710.6  ,       2
  735.1  ,     218
  759.5  ,     248
  784.0  ,     255
  808.4  ,     233
  832.9  ,     268
  857.3  ,     298
  881.8  ,     357
  906.2  ,     504
  930.7  ,     640
  955.1  ,     783
  979.6  ,    1001
 1004.0  ,    1164
 1028.5  ,    1128
 1052.9  ,    1115
 1077.4  ,    1154
 1101.8  ,    1021
 1126.3  ,     942
 1150.7  ,     960
 1175.2  ,    1000
 1199.6  ,    1088
 1224.1  ,    1161
 1248.5  ,    1182
 1273.0  ,    1220
 1297.4  ,    1256
 1321.9  ,    1319
 1346.3  ,    1554
 1370.8  ,    2001
 1395.3  ,    2507
 1419.7  ,    3202
 1444.2  ,    3785
 1468.6  ,    4030
 1493.1  ,    4126
 1517.5  ,    3914
 1542.0  ,    3656
 1566.4  ,    3360
 1590.9  ,    3596
 1615.3  ,    4393
 1639.8  ,    5646
 1664.2  ,    7352
 1688.7  ,    8733
 1713.1  ,    9592
 1737.6  ,    9812
 1762.0  ,    9225
 1786.5  ,    7863
 1810.9  ,    6105
 1835.4  ,    4256
 1859.8  ,    2833
 1884.3  ,    1752
 1908.7  ,    1120
 1933.2  ,     640
 1957.6  ,     407
 1982.1  ,     280
 2006.5  ,     231
 2031.0  ,     197
 2055.4  ,     157
 2079.9  ,     134
 2104.3  ,     145
 2128.8  ,     125
 2153.2  ,     139
 2177.7  ,     156
 2202.1  ,     192
 2226.6  ,     254
 2251.1  ,     282
 2275.5  ,     317
 2300.0  ,     301
 2324.4  ,     317
 2348.9  ,     283
 2373.3  ,     204
 2397.8  ,     211
 2422.2  ,     161
 2446.7  ,     134
 2471.1  ,     127
 2495.6  ,     100
 2520.0  ,     171
 2544.5  ,     174
 2568.9  ,     208
 2593.4  ,     224
 2617.8  ,     192
 2642.3  ,     189
 2666.7  ,     180
 2691.2  ,     145
 2715.6  ,      95
 2740.1  ,      90
 2764.5  ,      92
 2789.0  ,      59
 2813.4  ,      57
