"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.30    ,  0.20  
MgO     ,  8.44    ,  0.25  
Al2O3   ,  8.39    ,  0.19  
SiO2    , 44.60    ,  0.54  
P2O5    ,  0.93    ,  0.07  
SO3     ,  7.77    ,  0.22  
Cl      ,  1.81    ,  0.08  
K2O     ,  1.00    ,  0.05  
CaO     ,  3.18    ,  0.08  
TiO2    ,  1.08    ,  0.07  
Cr2O3   ,  0.31    ,  0.05  
MnO     ,  0.26    ,  0.03  
FeO     , 19.39    ,  0.26  
Ni      ,  0.0955  ,  0.0075
Zn      ,  0.2808  ,  0.0085
Br      ,  0.0901  ,  0.0030
