"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.31    ,  0.20  
MgO     ,  7.17    ,  0.17  
Al2O3   , 10.84    ,  0.29  
SiO2    , 45.81    ,  0.64  
P2O5    ,  0.93    ,  0.07  
SO3     ,  7.78    ,  0.20  
Cl      ,  0.97    ,  0.04  
K2O     ,  0.97    ,  0.04  
CaO     ,  7.46    ,  0.11  
TiO2    ,  0.94    ,  0.05  
Cr2O3   ,  0.19    ,  0.03  
MnO     ,  0.27    ,  0.03  
FeO     , 13.20    ,  0.20  
Ni      ,  0.0214  ,  0.0035
Zn      ,  0.0782  ,  0.0035
Br      ,  0.0010  ,  0.0010
