"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.45    ,  0.20  
MgO     ,  6.67    ,  0.17  
Al2O3   , 11.37    ,  0.29  
SiO2    , 46.28    ,  0.64  
P2O5    ,  1.01    ,  0.07  
SO3     ,  7.12    ,  0.17  
Cl      ,  0.99    ,  0.04  
K2O     ,  1.14    ,  0.04  
CaO     ,  6.77    ,  0.10  
TiO2    ,  0.88    ,  0.05  
Cr2O3   ,  0.13    ,  0.03  
MnO     ,  0.22    ,  0.03  
FeO     , 13.80    ,  0.20  
Ni      ,  0.0156  ,  0.0025
Zn      ,  0.0801  ,  0.0030
Br      ,  0.0044  ,  0.0010
