"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.69    ,  0.20  
MgO     ,  6.06    ,  0.17  
Al2O3   ,  8.44    ,  0.19  
SiO2    , 47.49    ,  0.64  
P2O5    ,  1.04    ,  0.07  
SO3     ,  4.99    ,  0.15  
Cl      ,  2.56    ,  0.06  
K2O     ,  0.86    ,  0.04  
CaO     ,  3.20    ,  0.07  
TiO2    ,  1.06    ,  0.05  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.20    ,  0.03  
FeO     , 20.66    ,  0.26  
Ni      ,  0.0865  ,  0.0050
Zn      ,  0.1754  ,  0.0055
Br      ,  0.0791  ,  0.0025
