"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.62    ,  0.55  
MgO     ,  8.49    ,  2.58  
Al2O3   ,  6.51    ,  0.29  
SiO2    , 34.55    ,  0.64  
P2O5    ,  0.93    ,  0.40  
SO3     , 20.65    ,  0.60  
Cl      ,  0.86    ,  0.10  
K2O     ,  0.71    ,  0.29  
CaO     ,  7.18    ,  0.21  
TiO2    ,  0.83    ,  0.36  
Cr2O3   ,  0.10    ,  0.08  
MnO     ,  0.27    ,  0.07  
FeO     , 16.95    ,  0.26  
Ni      ,  0.1162  ,  0.0160
Zn      ,  0.0780  ,  0.0090
Br      ,  0.0092  ,  0.0025
