"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.94    ,  0.41  
MgO     ,  8.54    ,  1.75  
Al2O3   ,  7.34    ,  0.29  
SiO2    , 37.82    ,  0.86  
P2O5    ,  1.02    ,  0.21  
SO3     , 18.71    ,  0.52  
Cl      ,  1.04    ,  0.09  
K2O     ,  0.71    ,  0.15  
CaO     ,  5.84    ,  0.17  
TiO2    ,  0.98    ,  0.21  
Cr2O3   ,  0.25    ,  0.06  
MnO     ,  0.20    ,  0.04  
FeO     , 15.33    ,  0.26  
Ni      ,  0.0996  ,  0.0115
Zn      ,  0.0638  ,  0.0065
Br      ,  0.0108  ,  0.0025
