"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.00    ,  0.14  
MgO     ,  6.10    ,  0.17  
Al2O3   ,  8.70    ,  0.19  
SiO2    , 50.12    ,  0.54  
P2O5    ,  1.01    ,  0.07  
SO3     ,  5.94    ,  0.10  
Cl      ,  1.84    ,  0.03  
K2O     ,  0.57    ,  0.02  
CaO     ,  5.73    ,  0.07  
TiO2    ,  0.95    ,  0.03  
Cr2O3   ,  0.38    ,  0.01  
MnO     ,  0.20    ,  0.01  
FeO     , 15.36    ,  0.20  
Ni      ,  0.0238  ,  0.0015
Zn      ,  0.0232  ,  0.0010
Br      ,  0.0101  ,  0.0005
