"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.68    ,  0.14  
MgO     ,  8.82    ,  0.25  
Al2O3   ,  8.76    ,  0.19  
SiO2    , 42.29    ,  0.43  
P2O5    ,  0.89    ,  0.05  
SO3     ,  5.82    ,  0.08  
Cl      ,  0.76    ,  0.02  
K2O     ,  0.45    ,  0.02  
CaO     ,  6.99    ,  0.07  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.52    ,  0.01  
MnO     ,  0.42    ,  0.01  
FeO     , 20.40    ,  0.26  
Ni      ,  0.0557  ,  0.0030
Zn      ,  0.0283  ,  0.0010
Br      ,  0.0023  ,  0.0005
