"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.03    ,  0.14  
MgO     ,  8.84    ,  0.25  
Al2O3   ,  8.63    ,  0.19  
SiO2    , 42.24    ,  0.43  
P2O5    ,  0.77    ,  0.05  
SO3     ,  6.43    ,  0.08  
Cl      ,  1.01    ,  0.02  
K2O     ,  0.94    ,  0.04  
CaO     ,  6.81    ,  0.07  
TiO2    ,  0.81    ,  0.03  
Cr2O3   ,  0.51    ,  0.01  
MnO     ,  0.52    ,  0.01  
FeO     , 19.31    ,  0.26  
Ni      ,  0.0343  ,  0.0020
Zn      ,  0.0471  ,  0.0015
Br      ,  0.0048  ,  0.0005
