"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.04    ,  0.07  
MgO     ,  6.78    ,  0.17  
Al2O3   ,  8.34    ,  0.19  
SiO2    , 43.89    ,  0.53  
P2O5    ,  0.87    ,  0.05  
SO3     ,  5.64    ,  0.07  
Cl      ,  1.05    ,  0.02  
K2O     ,  0.61    ,  0.02  
CaO     ,  6.19    ,  0.07  
TiO2    ,  1.28    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.32    ,  0.01  
FeO     , 22.34    ,  0.26  
Ni      ,  0.0610  ,  0.0035
Zn      ,  0.0701  ,  0.0025
Br      ,  0.0420  ,  0.0015
