"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.73    ,  0.13  
MgO     ,  7.84    ,  0.17  
Al2O3   ,  9.16    ,  0.19  
SiO2    , 46.80    ,  0.53  
P2O5    ,  0.87    ,  0.05  
SO3     ,  1.05    ,  0.02  
Cl      ,  1.00    ,  0.02  
K2O     ,  0.72    ,  0.02  
CaO     ,  5.47    ,  0.06  
TiO2    ,  1.22    ,  0.05  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.29    ,  0.01  
FeO     , 22.23    ,  0.26  
Ni      ,  0.0490  ,  0.0025
Zn      ,  0.0640  ,  0.0020
Br      ,  0.0353  ,  0.0015
