"Target: Brock_Inlier_RP, Contains DAT files: APA_412492605ESC01690060000_______M2.DAT"
 7453.4  ,      42
 7477.8  ,      47
 7502.3  ,      40
 7526.7  ,      32
 7551.2  ,      20
 7575.6  ,      14
 7600.1  ,      14
 7624.5  ,       6
 7649.0  ,      13
 7673.4  ,       8
 7697.9  ,      10
 7722.3  ,      12
 7746.8  ,       3
 7771.2  ,      10
 7795.7  ,      10
 7820.1  ,       8
 7844.6  ,       5
 7869.0  ,       8
 7893.5  ,       6
 7917.9  ,      14
 7942.4  ,       9
 7966.9  ,       6
 7991.3  ,       8
 8015.8  ,       9
 8040.2  ,       5
 8064.7  ,       9
 8089.1  ,       5
 8113.6  ,       9
 8138.0  ,      14
 8162.5  ,      11
 8186.9  ,       5
 8211.4  ,       9
 8235.8  ,      11
 8260.3  ,       5
 8284.7  ,      19
 8309.2  ,      14
 8333.6  ,      14
 8358.1  ,      18
 8382.5  ,       6
 8407.0  ,       3
 8431.4  ,      14
 8455.9  ,      12
 8480.3  ,      17
 8504.8  ,      28
 8529.2  ,      42
 8553.7  ,      48
 8578.1  ,      54
 8602.6  ,      60
 8627.1  ,      66
 8651.5  ,      78
 8676.0  ,      58
 8700.4  ,      47
 8724.9  ,      36
 8749.3  ,      25
 8773.8  ,      12
 8798.2  ,       8
 8822.7  ,       9
 8847.1  ,       3
 8871.6  ,      12
 8896.0  ,       4
 8920.5  ,       5
 8944.9  ,       5
 8969.4  ,      10
 8993.8  ,       7
 9018.3  ,      13
 9042.7  ,      10
 9067.2  ,       8
 9091.6  ,       4
 9116.1  ,       8
 9140.5  ,       6
 9165.0  ,       3
 9189.4  ,       4
 9213.9  ,       8
 9238.3  ,      13
 9262.8  ,      10
 9287.3  ,      12
 9311.7  ,      11
 9336.2  ,       7
 9360.6  ,       8
 9385.1  ,       7
 9409.5  ,      10
 9434.0  ,      12
 9458.4  ,      13
 9482.9  ,      19
 9507.3  ,      23
 9531.8  ,      18
 9556.2  ,      25
 9580.7  ,      11
 9605.1  ,      12
 9629.6  ,      15
 9654.0  ,      17
 9678.5  ,      12
