"Target: Mescal_DRT_raster2, Contains DAT files: APB_470342240ESC08210441828_______M1.DAT"
  485.1  ,   14400
  509.5  ,       0
  534.0  ,       0
  558.4  ,       0
  582.8  ,       0
  607.2  ,     116
  631.7  ,     976
  656.1  ,    4307
  680.5  ,    4866
  704.9  ,    4884
  729.4  ,    4733
  753.8  ,    4378
  778.2  ,    4272
  802.6  ,    4391
  827.1  ,    4327
  851.5  ,    4474
  875.9  ,    4574
  900.3  ,    4912
  924.8  ,    5450
  949.2  ,    6608
  973.6  ,   10175
  998.0  ,   15574
 1022.5  ,   20244
 1046.9  ,   19751
 1071.3  ,   14579
 1095.7  ,    9624
 1120.2  ,    7714
 1144.6  ,    8629
 1169.0  ,   13281
 1193.4  ,   23838
 1217.9  ,   38139
 1242.3  ,   47125
 1266.7  ,   40928
 1291.1  ,   26688
 1315.6  ,   15521
 1340.0  ,   11445
 1364.4  ,   12846
 1388.8  ,   21299
 1413.3  ,   44176
 1437.7  ,   84294
 1462.1  ,  122373
 1486.5  ,  125961
 1511.0  ,   93563
 1535.4  ,   53109
 1559.8  ,   28606
 1584.2  ,   20285
 1608.7  ,   24917
 1633.1  ,   48549
 1657.5  ,  115204
 1681.9  ,  241582
 1706.4  ,  385449
 1730.8  ,  446017
 1755.2  ,  366202
 1779.6  ,  218869
 1804.1  ,  100960
 1828.5  ,   43181
 1852.9  ,   21610
 1877.3  ,   13279
 1901.8  ,    8792
 1926.2  ,    6256
 1950.6  ,    6080
 1975.0  ,    6708
 1999.5  ,    7684
 2023.9  ,    7138
 2048.3  ,    5222
 2072.7  ,    3514
 2097.2  ,    2417
 2121.6  ,    2249
 2146.0  ,    2167
 2170.4  ,    2386
 2194.9  ,    3242
 2219.3  ,    5535
 2243.7  ,    9660
 2268.1  ,   14576
 2292.6  ,   17289
 2317.0  ,   15958
 2341.4  ,   11422
 2365.8  ,    6241
 2390.3  ,    3200
 2414.7  ,    2190
 2439.1  ,    2018
 2463.5  ,    2046
 2488.0  ,    2033
 2512.4  ,    2040
 2536.8  ,    2228
 2561.2  ,    2900
 2585.7  ,    3815
 2610.1  ,    4310
 2634.5  ,    3801
 2658.9  ,    2770
 2683.4  ,    1711
 2707.8  ,    1109
 2732.2  ,     858
 2756.6  ,     825
 2781.1  ,     856
 2805.5  ,     933
 2829.9  ,     985
 2854.3  ,     943
 2878.8  ,     858
 2903.2  ,     897
 2927.6  ,     989
 2952.0  ,     975
 2976.5  ,     898
 3000.9  ,     800
 3025.3  ,     700
 3049.7  ,     671
 3074.2  ,     682
 3098.6  ,     668
 3123.0  ,     743
 3147.4  ,     765
 3171.9  ,     911
 3196.3  ,    1221
 3220.7  ,    1810
 3245.1  ,    2798
 3269.6  ,    3980
 3294.0  ,    4600
 3318.4  ,    4652
 3342.8  ,    3609
 3367.3  ,    2632
 3391.7  ,    1697
 3416.1  ,    1136
 3440.5  ,     979
 3465.0  ,    1003
 3489.4  ,    1165
 3513.8  ,    1453
 3538.2  ,    1921
 3562.7  ,    3073
 3587.1  ,    5105
 3611.5  ,    8573
 3635.9  ,   12996
 3660.4  ,   16562
 3684.8  ,   17205
 3709.2  ,   14660
 3733.6  ,    9971
 3758.1  ,    5757
 3782.5  ,    2842
 3806.9  ,    1312
 3831.3  ,     805
 3855.8  ,     683
 3880.2  ,     776
 3904.6  ,    1021
 3929.0  ,    1323
 3953.5  ,    1859
 3977.9  ,    2353
 4002.3  ,    2588
 4026.7  ,    2422
 4051.2  ,    2012
 4075.6  ,    1523
 4100.0  ,    1052
 4124.4  ,     725
 4148.9  ,     605
 4173.3  ,     507
 4197.7  ,     489
 4222.1  ,     470
 4246.6  ,     471
 4271.0  ,     493
 4295.4  ,     504
 4319.8  ,     566
 4344.3  ,     633
 4368.7  ,     800
 4393.1  ,    1099
 4417.5  ,    1747
 4442.0  ,    2578
 4466.4  ,    3262
 4490.8  ,    3594
 4515.2  ,    3317
 4539.7  ,    2712
 4564.1  ,    1985
 4588.5  ,    1472
 4612.9  ,    1284
 4637.4  ,    1083
 4661.8  ,     942
 4686.2  ,     779
 4710.6  ,     663
 4735.1  ,     587
 4759.5  ,     529
 4783.9  ,     575
 4808.3  ,     560
 4832.8  ,     627
 4857.2  ,     789
 4881.6  ,     932
 4906.0  ,     996
 4930.5  ,    1017
 4954.9  ,     916
 4979.3  ,     775
 5003.7  ,     665
 5028.2  ,     546
 5052.6  ,     531
 5077.0  ,     501
 5101.4  ,     504
 5125.9  ,     545
 5150.3  ,     531
 5174.7  ,     589
 5199.1  ,     549
 5223.6  ,     601
 5248.0  ,     708
 5272.4  ,     763
 5296.8  ,     987
 5321.3  ,    1266
 5345.7  ,    1649
 5370.1  ,    1889
 5394.5  ,    2089
 5419.0  ,    1946
 5443.4  ,    1551
 5467.8  ,    1243
 5492.2  ,     950
 5516.7  ,     739
 5541.1  ,     647
 5565.5  ,     619
 5590.0  ,     596
 5614.4  ,     631
 5638.8  ,     657
 5663.2  ,     666
 5687.7  ,     710
 5712.1  ,     731
 5736.5  ,     858
 5760.9  ,    1070
 5785.4  ,    1471
 5809.8  ,    1957
 5834.2  ,    2423
 5858.6  ,    2894
 5883.1  ,    3074
 5907.5  ,    2776
 5931.9  ,    2534
 5956.3  ,    2085
 5980.8  ,    1601
 6005.2  ,    1443
 6029.6  ,    1404
 6054.0  ,    1406
 6078.5  ,    1575
 6102.9  ,    1675
 6127.3  ,    1875
 6151.7  ,    2425
 6176.2  ,    3351
 6200.6  ,    5526
 6225.0  ,    9689
 6249.4  ,   19030
 6273.9  ,   35206
 6298.3  ,   59092
 6322.7  ,   89786
 6347.1  ,  117512
 6371.6  ,  134141
 6396.0  ,  131852
 6420.4  ,  110804
 6444.8  ,   80169
 6469.3  ,   49444
 6493.7  ,   26426
 6518.1  ,   12447
 6542.5  ,    5203
 6567.0  ,    2279
 6591.4  ,    1089
 6615.8  ,     734
 6640.2  ,     672
 6664.7  ,     679
 6689.1  ,     677
 6713.5  ,     665
 6737.9  ,     686
 6762.4  ,     821
 6786.8  ,     881
 6811.2  ,    1029
 6835.6  ,    1338
 6860.1  ,    1891
 6884.5  ,    2923
 6908.9  ,    4629
 6933.3  ,    7381
 6957.8  ,   11397
 6982.2  ,   15753
 7006.6  ,   19503
 7031.0  ,   21224
 7055.5  ,   20529
 7079.9  ,   17280
 7104.3  ,   12447
 7128.7  ,    8107
 7153.2  ,    4614
 7177.6  ,    2278
 7202.0  ,    1138
 7226.4  ,     570
 7250.9  ,     374
 7275.3  ,     284
 7299.7  ,     291
 7324.1  ,     349
 7348.6  ,     403
 7373.0  ,     613
 7397.4  ,     736
 7421.8  ,     874
 7446.3  ,    1006
 7470.7  ,     906
 7495.1  ,     818
 7519.5  ,     654
 7544.0  ,     502
 7568.4  ,     403
 7592.8  ,     253
 7617.2  ,     242
 7641.7  ,     204
 7666.1  ,     214
 7690.5  ,     198
 7714.9  ,     192
 7739.4  ,     176
 7763.8  ,     236
 7788.2  ,     217
 7812.6  ,     222
 7837.1  ,     212
 7861.5  ,     229
 7885.9  ,     241
 7910.3  ,     252
 7934.8  ,     261
 7959.2  ,     250
 7983.6  ,     250
 8008.0  ,     260
 8032.5  ,     278
 8056.9  ,     246
 8081.3  ,     230
 8105.7  ,     256
 8130.2  ,     273
 8154.6  ,     265
 8179.0  ,     274
 8203.4  ,     315
 8227.9  ,     345
 8252.3  ,     282
 8276.7  ,     308
 8301.1  ,     313
 8325.6  ,     275
 8350.0  ,     240
 8374.4  ,     243
 8398.8  ,     277
 8423.3  ,     334
 8447.7  ,     508
 8472.1  ,     706
 8496.5  ,    1087
 8521.0  ,    1688
 8545.4  ,    2265
 8569.8  ,    2907
 8594.2  ,    3406
 8618.7  ,    3534
 8643.1  ,    3212
 8667.5  ,    2747
 8691.9  ,    2003
 8716.4  ,    1342
 8740.8  ,     816
 8765.2  ,     474
 8789.6  ,     308
 8814.1  ,     241
 8838.5  ,     211
 8862.9  ,     198
 8887.3  ,     181
 8911.8  ,     182
 8936.2  ,     197
 8960.6  ,     236
 8985.0  ,     232
 9009.5  ,     201
 9033.9  ,     182
 9058.3  ,     193
 9082.7  ,     193
 9107.2  ,     229
 9131.6  ,     208
 9156.0  ,     273
 9180.4  ,     252
 9204.9  ,     268
 9229.3  ,     260
 9253.7  ,     241
 9278.1  ,     252
 9302.6  ,     233
 9327.0  ,     244
 9351.4  ,     217
 9375.8  ,     226
 9400.3  ,     232
 9424.7  ,     326
 9449.1  ,     396
 9473.5  ,     440
 9498.0  ,     571
 9522.4  ,     651
 9546.8  ,     713
 9571.2  ,     715
 9595.7  ,     641
 9620.1  ,     549
 9644.5  ,     447
 9668.9  ,     356
 9693.4  ,     306
 9717.8  ,     305
 9742.2  ,     287
 9766.6  ,     323
 9791.1  ,     351
 9815.5  ,     474
 9839.9  ,     489
 9864.3  ,     506
 9888.8  ,     503
 9913.2  ,     444
 9937.6  ,     403
 9962.0  ,     330
 9986.5  ,     242
10010.9  ,     235
10035.3  ,     195
10059.7  ,     152
10084.2  ,     175
10108.6  ,     155
10133.0  ,     172
10157.4  ,     166
10181.9  ,     167
10206.3  ,     153
10230.7  ,     181
10255.1  ,     188
10279.6  ,     179
10304.0  ,     187
10328.4  ,     204
10352.8  ,     211
10377.3  ,     221
10401.7  ,     247
10426.1  ,     298
10450.5  ,     339
10475.0  ,     357
10499.4  ,     381
10523.8  ,     382
10548.2  ,     411
10572.7  ,     388
10597.1  ,     330
10621.5  ,     286
10646.0  ,     263
10670.4  ,     202
10694.8  ,     208
10719.2  ,     172
10743.7  ,     185
10768.1  ,     199
10792.5  ,     176
10816.9  ,     181
10841.4  ,     176
10865.8  ,     207
10890.2  ,     206
10914.6  ,     225
10939.1  ,     211
10963.5  ,     235
10987.9  ,     262
11012.3  ,     234
11036.8  ,     232
11061.2  ,     231
11085.6  ,     222
11110.0  ,     230
11134.5  ,     225
11158.9  ,     240
11183.3  ,     240
11207.7  ,     248
11232.2  ,     259
11256.6  ,     259
11281.0  ,     311
11305.4  ,     254
11329.9  ,     256
11354.3  ,     271
11378.7  ,     253
11403.1  ,     294
11427.6  ,     260
11452.0  ,     315
11476.4  ,     316
11500.8  ,     353
11525.3  ,     332
11549.7  ,     378
11574.1  ,     352
11598.5  ,     330
11623.0  ,     357
11647.4  ,     367
11671.8  ,     342
11696.2  ,     381
11720.7  ,     380
11745.1  ,     370
11769.5  ,     364
11793.9  ,     403
11818.4  ,     410
11842.8  ,     431
11867.2  ,     444
11891.6  ,     479
11916.1  ,     482
11940.5  ,     468
11964.9  ,     458
11989.3  ,     478
12013.8  ,     480
12038.2  ,     513
12062.6  ,     538
12087.0  ,     547
12111.5  ,     560
12135.9  ,     567
12160.3  ,     549
12184.7  ,     500
12209.2  ,     486
12233.6  ,     370
12258.0  ,     357
12282.4  ,     335
12306.9  ,     308
12331.3  ,     308
12355.7  ,     269
12380.1  ,     296
12404.6  ,     316
12429.0  ,     369
12453.4  ,     366
12477.8  ,     371
12502.3  ,     419
12526.7  ,     426
12551.1  ,     484
12575.5  ,     526
12600.0  ,     541
12624.4  ,     557
12648.8  ,     511
12673.2  ,     561
12697.7  ,     464
12722.1  ,     480
12746.5  ,     456
12770.9  ,     441
12795.4  ,     463
12819.8  ,     493
12844.2  ,     540
12868.6  ,     543
12893.1  ,     572
12917.5  ,     580
12941.9  ,     695
12966.3  ,     721
12990.8  ,     766
13015.2  ,     760
13039.6  ,     820
13064.0  ,     866
13088.5  ,     934
13112.9  ,    1030
13137.3  ,    1120
13161.7  ,    1236
13186.2  ,    1334
13210.6  ,    1527
13235.0  ,    1737
13259.4  ,    1821
13283.9  ,    2086
13308.3  ,    2334
13332.7  ,    2597
13357.1  ,    2812
13381.6  ,    2956
13406.0  ,    3153
13430.4  ,    3364
13454.8  ,    3361
13479.3  ,    3433
13503.7  ,    3459
13528.1  ,    3794
13552.5  ,    3612
13577.0  ,    3644
13601.4  ,    3382
13625.8  ,    3350
13650.2  ,    3224
13674.7  ,    2898
13699.1  ,    2677
13723.5  ,    2565
13747.9  ,    2292
13772.4  ,    2070
13796.8  ,    1860
13821.2  ,    1708
13845.6  ,    1505
13870.1  ,    1444
13894.5  ,    1352
13918.9  ,    1315
13943.3  ,    1329
13967.8  ,    1442
13992.2  ,    1504
14016.6  ,    1724
14041.0  ,    1837
14065.5  ,    2146
14089.9  ,    2393
14114.3  ,    2803
14138.7  ,    3301
14163.2  ,    3791
14187.6  ,    4320
14212.0  ,    4876
14236.4  ,    5401
14260.9  ,    5599
14285.3  ,    5311
14309.7  ,    5217
14334.1  ,    4269
14358.6  ,    3558
