"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.65    ,  0.14  
MgO     ,  5.55    ,  0.17  
Al2O3   ,  9.73    ,  0.29  
SiO2    , 48.13    ,  0.54  
P2O5    ,  1.02    ,  0.07  
SO3     ,  4.86    ,  0.08  
Cl      ,  0.41    ,  0.02  
K2O     ,  0.98    ,  0.04  
CaO     ,  4.58    ,  0.06  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.39    ,  0.01  
MnO     ,  0.36    ,  0.01  
FeO     , 19.83    ,  0.26  
Ni      ,  0.0928  ,  0.0050
Zn      ,  0.2107  ,  0.0065
Br      ,  0.0040  ,  0.0005
