"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.54    ,  0.27  
MgO     ,  9.21    ,  0.33  
Al2O3   ,  8.82    ,  0.29  
SiO2    , 44.30    ,  0.64  
P2O5    ,  0.59    ,  0.09  
SO3     ,  3.72    ,  0.17  
Cl      ,  0.63    ,  0.05  
K2O     ,  0.49    ,  0.04  
CaO     ,  6.78    ,  0.11  
TiO2    ,  1.02    ,  0.07  
Cr2O3   ,  0.58    ,  0.05  
MnO     ,  0.41    ,  0.04  
FeO     , 20.73    ,  0.26  
Ni      ,  0.0658  ,  0.0065
Zn      ,  0.0476  ,  0.0035
Br      ,  0.0118  ,  0.0015
