"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.56    ,  0.14  
MgO     ,  6.86    ,  0.17  
Al2O3   ,  8.94    ,  0.19  
SiO2    , 46.82    ,  0.54  
P2O5    ,  0.75    ,  0.05  
SO3     ,  3.93    ,  0.10  
Cl      ,  1.18    ,  0.03  
K2O     ,  0.91    ,  0.04  
CaO     ,  4.38    ,  0.06  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.45    ,  0.03  
MnO     ,  0.22    ,  0.01  
FeO     , 21.56    ,  0.26  
Ni      ,  0.0725  ,  0.0040
Zn      ,  0.0875  ,  0.0030
Br      ,  0.0901  ,  0.0030
