"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.44    ,  0.14  
MgO     ,  7.64    ,  0.17  
Al2O3   ,  8.62    ,  0.19  
SiO2    , 44.94    ,  0.54  
P2O5    ,  0.79    ,  0.05  
SO3     ,  4.61    ,  0.10  
Cl      ,  0.95    ,  0.03  
K2O     ,  0.70    ,  0.02  
CaO     ,  5.41    ,  0.06  
TiO2    ,  1.23    ,  0.05  
Cr2O3   ,  0.53    ,  0.03  
MnO     ,  0.30    ,  0.01  
FeO     , 21.59    ,  0.26  
Ni      ,  0.0696  ,  0.0035
Zn      ,  0.0633  ,  0.0020
Br      ,  0.0649  ,  0.0020
