"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.36    ,  0.14  
MgO     ,  4.88    ,  0.17  
Al2O3   ,  6.84    ,  0.19  
SiO2    , 62.51    ,  0.86  
P2O5    ,  1.22    ,  0.07  
SO3     ,  8.77    ,  0.20  
Cl      ,  0.88    ,  0.04  
K2O     ,  0.80    ,  0.04  
CaO     ,  4.90    ,  0.08  
TiO2    ,  1.48    ,  0.05  
Cr2O3   ,  0.10    ,  0.03  
MnO     ,  0.09    ,  0.01  
FeO     ,  4.96    ,  0.07  
Ni      ,  0.0151  ,  0.0025
Zn      ,  0.0179  ,  0.0015
Br      ,  0.0055  ,  0.0010
