"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.14  
MgO     ,  4.14    ,  0.08  
Al2O3   ,  9.15    ,  0.19  
SiO2    , 49.30    ,  0.54  
P2O5    ,  0.99    ,  0.07  
SO3     ,  5.58    ,  0.10  
Cl      ,  0.90    ,  0.02  
K2O     ,  0.86    ,  0.04  
CaO     ,  4.52    ,  0.06  
TiO2    ,  1.16    ,  0.05  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.27    ,  0.01  
FeO     , 19.82    ,  0.26  
Ni      ,  0.1205  ,  0.0065
Zn      ,  0.2182  ,  0.0070
Br      ,  0.0029  ,  0.0005
