"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.67    ,  0.14  
MgO     ,  8.91    ,  0.25  
Al2O3   ,  9.06    ,  0.19  
SiO2    , 42.89    ,  0.54  
P2O5    ,  0.85    ,  0.05  
SO3     ,  4.62    ,  0.08  
Cl      ,  0.62    ,  0.02  
K2O     ,  0.44    ,  0.02  
CaO     ,  7.01    ,  0.08  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.47    ,  0.01  
MnO     ,  0.43    ,  0.01  
FeO     , 20.77    ,  0.26  
Ni      ,  0.0558  ,  0.0030
Zn      ,  0.0288  ,  0.0015
Br      ,  0.0049  ,  0.0005
