"Target: Cumberland_DRT_RP_twk_preBrush, Contains DAT files: APB_423343606ESC02910060082_______M1.DAT"
 7425.6  ,      27
 7450.0  ,      26
 7474.4  ,      26
 7498.8  ,      30
 7523.3  ,      19
 7547.7  ,      14
 7572.1  ,      19
 7596.6  ,      14
 7621.0  ,       5
 7645.4  ,       7
 7669.8  ,       8
 7694.3  ,       8
 7718.7  ,       9
 7743.1  ,       7
 7767.5  ,       6
 7792.0  ,       3
 7816.4  ,       6
 7840.8  ,       4
 7865.2  ,       8
 7889.7  ,       7
 7914.1  ,       7
 7938.5  ,       7
 7962.9  ,       9
 7987.4  ,       5
 8011.8  ,       4
 8036.2  ,       8
 8060.7  ,       5
 8085.1  ,       5
 8109.5  ,       5
 8133.9  ,       7
 8158.4  ,       6
 8182.8  ,       9
 8207.2  ,       6
 8231.6  ,       8
 8256.1  ,       5
 8280.5  ,      11
 8304.9  ,       4
 8329.3  ,      10
 8353.8  ,       6
 8378.2  ,       8
 8402.6  ,       7
 8427.0  ,      10
 8451.5  ,      11
 8475.9  ,      16
 8500.3  ,      24
 8524.8  ,      22
 8549.2  ,      34
 8573.6  ,      33
 8598.0  ,      51
 8622.5  ,      47
 8646.9  ,      37
 8671.3  ,      38
 8695.7  ,      24
 8720.2  ,      32
 8744.6  ,      19
 8769.0  ,      17
 8793.4  ,      10
 8817.9  ,       7
 8842.3  ,       6
 8866.7  ,       6
 8891.1  ,       6
 8915.6  ,       8
 8940.0  ,       5
 8964.4  ,       1
 8988.9  ,       3
 9013.3  ,       7
 9037.7  ,       3
 9062.1  ,       6
 9086.6  ,       5
 9111.0  ,       5
 9135.4  ,       6
 9159.8  ,       5
 9184.3  ,       8
 9208.7  ,      13
 9233.1  ,       4
 9257.5  ,       6
 9282.0  ,       5
 9306.4  ,       5
 9330.8  ,       8
 9355.2  ,       8
 9379.7  ,       8
 9404.1  ,       8
 9428.5  ,       3
 9453.0  ,       3
 9477.4  ,      15
 9501.8  ,       9
 9526.2  ,       9
 9550.7  ,      11
 9575.1  ,      12
 9599.5  ,      10
 9623.9  ,      14
 9648.4  ,      10
 9672.8  ,      13
 9697.2  ,      10
 9721.6  ,       9
 9746.1  ,       9
 9770.5  ,      10
 9794.9  ,       4
 9819.3  ,       6
 9843.8  ,      10
 9868.2  ,       8
 9892.6  ,       9
 9917.0  ,       4
 9941.5  ,      10
 9965.9  ,      13
 9990.3  ,       5
10014.8  ,       8
10039.2  ,       3
10063.6  ,       7
10088.0  ,       6
10112.5  ,       5
10136.9  ,       2
10161.3  ,       1
10185.7  ,       3
10210.2  ,       6
10234.6  ,       2
10259.0  ,       8
10283.4  ,       8
10307.9  ,       4
10332.3  ,       5
10356.7  ,       3
10381.1  ,       7
10405.6  ,       2
10430.0  ,       4
10454.4  ,       4
10478.9  ,       6
10503.3  ,       2
10527.7  ,       4
10552.1  ,       4
10576.6  ,       6
10601.0  ,       8
10625.4  ,       9
10649.8  ,       4
10674.3  ,       6
10698.7  ,       5
10723.1  ,       4
10747.5  ,       5
10772.0  ,       4
10796.4  ,       5
10820.8  ,       5
10845.2  ,       8
10869.7  ,       6
10894.1  ,       7
10918.5  ,       3
10943.0  ,       7
10967.4  ,       3
10991.8  ,       5
11016.2  ,       6
11040.7  ,       9
11065.1  ,       6
11089.5  ,       2
11113.9  ,       5
11138.4  ,       6
11162.8  ,       7
11187.2  ,       6
11211.6  ,       9
11236.1  ,       6
11260.5  ,       8
11284.9  ,       6
11309.3  ,       6
11333.8  ,       6
11358.2  ,       6
11382.6  ,       9
11407.1  ,      14
11431.5  ,      12
11455.9  ,      11
11480.3  ,       2
11504.8  ,      15
11529.2  ,      10
11553.6  ,       6
11578.0  ,      11
11602.5  ,       9
11626.9  ,       9
11651.3  ,      10
11675.7  ,      13
11700.2  ,      11
11724.6  ,      16
11749.0  ,      16
11773.4  ,      14
11797.9  ,      15
11822.3  ,      20
11846.7  ,      18
11871.2  ,      26
11895.6  ,      17
11920.0  ,      23
11944.4  ,      20
11968.9  ,      15
11993.3  ,      13
12017.7  ,      14
12042.1  ,      18
12066.6  ,      22
12091.0  ,      16
12115.4  ,      12
12139.8  ,      14
12164.3  ,       6
12188.7  ,      12
12213.1  ,      17
12237.5  ,      10
12262.0  ,       5
12286.4  ,      11
12310.8  ,      10
12335.3  ,       8
12359.7  ,      12
12384.1  ,      13
12408.5  ,       9
12433.0  ,      13
12457.4  ,      10
12481.8  ,      11
12506.2  ,       6
12530.7  ,      11
12555.1  ,       7
12579.5  ,       7
12603.9  ,       6
12628.4  ,      11
12652.8  ,      14
12677.2  ,      13
12701.6  ,      16
12726.1  ,      11
12750.5  ,      13
12774.9  ,      14
12799.4  ,      20
12823.8  ,      14
12848.2  ,      16
12872.6  ,      12
12897.1  ,      16
12921.5  ,      25
12945.9  ,      18
12970.3  ,      17
12994.8  ,      25
13019.2  ,      23
13043.6  ,      28
13068.0  ,      22
13092.5  ,      22
13116.9  ,      35
13141.3  ,      28
13165.7  ,      44
13190.2  ,      47
13214.6  ,      47
13239.0  ,      45
13263.5  ,      58
13287.9  ,      61
13312.3  ,      56
13336.7  ,      72
13361.2  ,      76
13385.6  ,      75
13410.0  ,      71
13434.4  ,      88
13458.9  ,      85
13483.3  ,      87
13507.7  ,      79
13532.1  ,     100
13556.6  ,      88
13581.0  ,      84
13605.4  ,      77
13629.8  ,      77
13654.3  ,      68
13678.7  ,      64
13703.1  ,      70
13727.6  ,      46
13752.0  ,      48
13776.4  ,      45
13800.8  ,      49
13825.3  ,      38
13849.7  ,      44
13874.1  ,      45
13898.5  ,      50
13923.0  ,      32
13947.4  ,      43
13971.8  ,      32
13996.2  ,      34
14020.7  ,      41
14045.1  ,      46
14069.5  ,      54
14093.9  ,      74
14118.4  ,     107
14142.8  ,      92
14167.2  ,     108
14191.7  ,     124
14216.1  ,     122
14240.5  ,     142
14264.9  ,     133
14289.4  ,     127
14313.8  ,     110
14338.2  ,     111
14362.6  ,     101
14387.1  ,      72
14411.5  ,      64
14435.9  ,      32
14460.3  ,      36
14484.8  ,      40
14509.2  ,      21
14533.6  ,      16
14558.0  ,      14
14582.5  ,      11
14606.9  ,       4
14631.3  ,      12
14655.8  ,       8
14680.2  ,       3
14704.6  ,       7
14729.0  ,      14
14753.5  ,      10
14777.9  ,       6
14802.3  ,       8
14826.7  ,       9
14851.2  ,       6
14875.6  ,      10
14900.0  ,      17
14924.4  ,       8
14948.9  ,       3
14973.3  ,      10
14997.7  ,       9
15022.1  ,      10
15046.6  ,      15
15071.0  ,       7
15095.4  ,       8
15119.9  ,      14
15144.3  ,      11
15168.7  ,      12
15193.1  ,      13
15217.6  ,       9
15242.0  ,      10
15266.4  ,      12
15290.8  ,      11
15315.3  ,      15
15339.7  ,      16
15364.1  ,      15
15388.5  ,      22
15413.0  ,      11
15437.4  ,      17
15461.8  ,      33
15486.2  ,      33
15510.7  ,      44
15535.1  ,      41
15559.5  ,      58
15583.9  ,      58
15608.4  ,      64
15632.8  ,      99
15657.2  ,     107
15681.7  ,     129
15706.1  ,     140
15730.5  ,     150
15754.9  ,     131
15779.4  ,     157
15803.8  ,     128
15828.2  ,     139
15852.6  ,     111
15877.1  ,      89
15901.5  ,      95
15925.9  ,      73
15950.3  ,      68
15974.8  ,      60
15999.2  ,      47
16023.6  ,      42
16048.0  ,      38
16072.5  ,      38
16096.9  ,      37
16121.3  ,      33
