"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.02    ,  0.14  
MgO     ,  6.66    ,  0.17  
Al2O3   ,  9.52    ,  0.29  
SiO2    , 42.84    ,  0.54  
P2O5    ,  1.06    ,  0.07  
SO3     ,  4.58    ,  0.08  
Cl      ,  2.01    ,  0.03  
K2O     ,  0.46    ,  0.02  
CaO     ,  8.75    ,  0.10  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.17    ,  0.01  
MnO     ,  0.38    ,  0.01  
FeO     , 19.17    ,  0.20  
Ni      ,  0.0494  ,  0.0025
Zn      ,  0.0925  ,  0.0030
Br      ,  0.0654  ,  0.0020
