"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.14  
MgO     ,  5.39    ,  0.17  
Al2O3   ,  9.00    ,  0.19  
SiO2    , 48.36    ,  0.54  
P2O5    ,  0.85    ,  0.05  
SO3     ,  6.60    ,  0.08  
Cl      ,  0.82    ,  0.02  
K2O     ,  1.04    ,  0.04  
CaO     ,  4.33    ,  0.06  
TiO2    ,  1.06    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.30    ,  0.01  
FeO     , 19.32    ,  0.26  
Ni      ,  0.0884  ,  0.0045
Zn      ,  0.0896  ,  0.0030
Br      ,  0.0080  ,  0.0005
