"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.85    ,  0.14  
MgO     ,  5.01    ,  0.17  
Al2O3   , 12.72    ,  0.29  
SiO2    , 55.80    ,  0.64  
P2O5    ,  1.15    ,  0.07  
SO3     ,  3.26    ,  0.05  
Cl      ,  0.48    ,  0.01  
K2O     ,  0.80    ,  0.02  
CaO     ,  3.77    ,  0.04  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.37    ,  0.01  
MnO     ,  0.27    ,  0.01  
FeO     , 11.99    ,  0.13  
Ni      ,  0.0638  ,  0.0035
Zn      ,  0.1675  ,  0.0055
Br      ,  0.0686  ,  0.0025
