"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.74    ,  0.14  
MgO     ,  4.96    ,  0.17  
Al2O3   , 11.59    ,  0.29  
SiO2    , 50.87    ,  0.54  
P2O5    ,  1.45    ,  0.09  
SO3     ,  7.11    ,  0.08  
Cl      ,  0.88    ,  0.02  
K2O     ,  0.69    ,  0.02  
CaO     ,  4.34    ,  0.06  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.34    ,  0.01  
FeO     , 13.21    ,  0.20  
Ni      ,  0.0796  ,  0.0040
Zn      ,  0.2131  ,  0.0065
Br      ,  0.0070  ,  0.0005
